"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
07,"Igor Fojcik",1,5,4,2,1,0,1,0,0,0,1,0.250,1,0,1,1,0,1,0,0,0,0,0.600,0.400,0.400,0.250,0.650,0.243,0.750,0.600,0,0,0,0,0,3,1,0.333,20.0,20.0,20.0
01,"Jan Kiszka",1,3,2,1,0,0,0,0,0,0,0,0.000,1,0,1,1,0,0,1,0,0,0,0.333,0.333,0.333,0.000,0.333,0.150,0.500,0.333,0,1,0,0,0,0,0,0.000,66.7,66.7,66.7
3,"Carlos Salas",1,4,2,2,1,0,1,0,0,0,0,0.500,1,0,0,0,1,0,1,0,0,0,0.500,0.750,0.750,0.500,1.250,0.463,1.000,0.500,0,0,0,0,0,0,0,0.000,25.0,25.0,0.0
72,"Dominik Grzecicha",1,4,3,1,1,0,0,1,0,0,2,0.333,0,0,0,0,1,0,0,0,0,0,0.750,0.500,0.500,0.667,1.167,0.392,1.000,0.750,0,1,0,0,0,1,0,0.000,50.0,50.0,50.0
51,"Dawid Korzekwa",1,4,3,1,1,0,0,0,0,1,2,0.333,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.333,1.833,0.558,1.000,0.750,0,0,0,0,0,2,1,0.500,50.0,50.0,50.0
41,"Szymon Dwojakowski",1,4,3,1,0,0,0,0,0,0,0,0.000,0,0,0,0,1,1,0,0,0,0,0.250,0.250,0.500,0.000,0.250,0.113,1.000,0.750,1,0,0,0,0,1,0,0.000,0.0,0.0,0.0
22,"Szymon Garus",1,3,1,2,0,0,0,0,0,0,0,0.000,1,0,0,0,1,2,0,0,0,0,0.667,0.667,1.000,0.000,0.667,0.300,1.000,0.333,1,0,0,0,0,0,0,0.000,33.3,33.3,33.3
18,"Przemyslaw Sobik",1,4,2,1,0,0,0,0,0,0,0,0.000,1,0,0,0,0,1,0,1,0,1,0.250,0.333,0.333,0.000,0.333,0.150,1.000,0.500,0,0,0,0,0,1,0,0.000,50.0,50.0,50.0
09,"Maksymilian Serwotka",1,4,3,1,1,0,1,0,0,0,1,0.333,1,0,0,0,0,1,0,0,0,0,0.500,0.500,0.500,0.333,0.833,0.308,1.000,0.750,0,0,0,0,0,2,0,0.000,50.0,50.0,25.0
06,"Dawid Pierchala",1,1,1,0,1,0,1,0,0,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0,0,0,0,0,0,0,0.000,100.0,100.0,0.0
05,"Gabriel Wilichnowski",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,37,25,12,6,0,4,1,0,1,6,0.240,7,0,2,2,4,6,2,1,0,1,0.459,0.472,0.528,0.400,0.872,0.313,0.920,0.622,2,2,0,0,0,10,2,0.200,37.8,37.8,29.7
