"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
07,"Igor Fojcik",1,1,0,1,1,0,0,0,0,0,0,0,0,0.500
01,"Jan Kiszka",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
3,"Carlos Salas",1,0,1,1,2,1,0,0,0,0,0,0,0,0.750
72,"Dominik Grzecicha",1,0,0,0,13,0,1,0,0,0,0,0,0,1.000
51,"Dawid Korzekwa",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
41,"Szymon Dwojakowski",1,0,1,1,2,0,0,0,0,0,0,0,0,0.667
18,"Przemyslaw Sobik",1,0,0,0,0,3,0,0,0,0,0,0,0,1.000
09,"Maksymilian Serwotka",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
28,"Jakub Szymura",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
06,"Dawid Pierchala",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
05,"Gabriel Wilichnowski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,1,2,3,21,4,1,0,0,0,0,0,0,0.893
