"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
41,"Patryk Stanoszek",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
22,"Tomek Rogowiec",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
4,"Bartek Wycisk",1,1,0,1,2,1,6,1,0,0,2,0,0,0.750
66,"Aleks Polonek",1,0,0,0,1,2,0,1,0,0,0,0,0,1.000
13,"Patryk Szczygiel",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
75,"Roman Pelka",1,0,0,0,3,0,0,0,0,0,0,0,0,1.000
70,"Emil Dudek",1,0,1,1,1,0,0,0,0,0,0,0,0,0.500
21,"Lukasz Rumpel",1,0,1,1,4,0,0,0,0,0,0,0,0,0.800
26,"Kacper Urbanczyk",1,0,0,0,4,0,0,0,0,0,0,0,0,1.000
20,"Santana Reynoso",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
"","TOTALS",1,1,2,3,20,5,6,2,0,0,2,0,0,0.893
