"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
41,"Patryk Stanoszek",1,4,3,0,1,0,1,0,0,0,1,0.333,1,1,1,2,0,1,0,0,0,0,0.250,0.500,0.500,0.333,0.833,0.308,0.333,0.250,0,0,0,0,0,2,1,0.500,75.0,75.0,75.0
20,"Santana Reynoso",1,4,2,1,1,0,1,0,0,0,1,0.500,2,0,0,0,0,1,0,0,0,0,0.500,0.750,0.750,0.500,1.250,0.463,1.000,0.500,0,0,0,0,0,1,1,1.000,50.0,50.0,50.0
66,"Aleks Polonek",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,100.0,100.0,100.0
13,"Patryk Szczygiel",1,2,2,1,0,0,0,0,0,0,0,0.000,0,0,1,1,0,1,0,0,0,0,0.500,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,1,0,0,0,0,0,0.000,0.0,0.0,0.0
75,"Roman Pelka",1,3,1,1,0,0,0,0,0,0,0,0.000,2,1,0,1,0,1,1,0,0,0,0.333,0.667,0.667,0.000,0.667,0.300,0.000,0.000,0,0,0,0,0,0,0,0.000,33.3,33.3,33.3
26,"Kacper Urbanczyk",1,2,1,1,0,0,0,0,0,0,0,0.000,0,1,0,1,1,1,0,0,0,0,0.500,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0,0,0,0,0,0,0,0.000,100.0,100.0,100.0
58,"Jakub Osinski",1,3,1,2,0,0,0,0,0,0,0,0.000,2,0,0,0,0,1,0,0,0,0,0.667,0.667,1.000,0.000,0.667,0.300,1.000,0.333,1,0,0,0,0,1,0,0.000,33.3,33.3,33.3
45,"Oskar Witala",1,2,1,2,1,0,1,0,0,0,1,1.000,0,0,0,0,1,0,0,0,0,0,1.500,1.000,1.000,1.000,2.000,0.700,1.000,0.500,0,0,0,0,0,1,1,1.000,50.0,50.0,50.0
67,"Lukasz Belok",1,2,0,1,0,0,0,0,0,0,0,0.000,2,0,0,0,0,0,0,0,0,0,0.500,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0,0,0,0,0,0,0,0.000,50.0,50.0,50.0
22,"Tomek Rogowiec",1,2,2,0,0,0,0,0,0,0,1,0.000,0,0,1,1,0,0,0,0,0,0,0.500,0.000,0.500,0.000,0.000,0.000,0.500,0.500,1,0,0,0,0,2,0,0.000,50.0,50.0,50.0
4,"Bartek Wycisk",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
70,"Emil Dudek",1,1,1,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
31,"Eryk Manka",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
6,"Szymon Grodski",1,1,1,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
97,"Mateusz Janus",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,30,19,9,3,0,3,0,0,0,4,0.158,9,5,6,11,2,6,1,0,0,0,0.433,0.467,0.533,0.158,0.625,0.249,0.421,0.267,2,1,0,0,0,8,3,0.375,43.3,43.3,43.3
