"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
40,"Gracjan Bielecki",1,4,4,3,2,0,2,0,0,0,1,0.500,0,0,1,1,0,1,0,0,0,0,1.000,0.500,0.750,0.500,1.000,0.350,0.750,0.750,1,0,0,0,0,1,1,1.000,50.0,50.0,25.0
1,"Edgar Toro",1,4,3,1,1,0,0,1,0,0,0,0.333,1,0,0,0,0,0,0,0,0,0,0.250,0.500,0.500,0.667,1.167,0.392,1.000,0.750,0,0,0,0,0,0,0,0.000,25.0,25.0,0.0
23,"Jakub Wojtczak",1,4,4,4,3,0,2,1,0,0,3,0.750,0,0,0,0,0,0,0,0,0,0,1.750,0.750,1.000,1.000,1.750,0.588,1.000,1.000,1,0,0,0,0,2,1,0.500,100.0,100.0,50.0
21,"Artur Wojtczak",1,4,3,2,2,0,1,1,0,0,1,0.667,1,0,0,0,0,0,0,0,0,0,0.750,0.750,0.750,1.000,1.750,0.588,1.000,0.750,0,0,0,0,0,2,1,0.500,50.0,50.0,25.0
13,"Kacper Kamiński",1,3,3,1,2,0,2,0,0,0,1,0.667,0,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,0.667,1.333,0.467,1.000,1.000,0,0,0,0,0,2,2,1.000,66.7,66.7,66.7
17,"Mateusz Serafin",1,4,3,1,2,0,2,0,0,0,2,0.667,1,0,0,0,0,0,0,0,0,0,0.750,0.750,0.750,0.667,1.417,0.504,1.000,0.750,0,0,0,0,0,2,1,0.500,100.0,100.0,75.0
16,"Michał Nowicki",1,3,2,0,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0.000,0.333,1.000,0.000,0.333,0.150,1.000,0.667,2,0,0,0,0,1,0,0.000,0.0,0.0,0.0
12,"Anderson Reyes",1,3,3,0,0,0,0,0,0,0,0,0.000,0,1,2,3,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,3,0,0.000,33.3,33.3,33.3
9,"Radosław Jóźwiak",1,4,4,1,1,0,0,1,0,0,0,0.250,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,0.750,0.238,1.000,1.000,0,0,0,0,0,1,0,0.000,25.0,25.0,0.0
7,"Eryk Kieruńczak",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
45,"Kacper Cichowski",1,1,1,0,1,0,0,1,0,0,2,1.000,0,0,0,0,0,0,0,0,0,0,2.000,1.000,1.000,2.000,3.000,0.950,1.000,1.000,0,0,0,0,0,1,1,1.000,100.0,100.0,100.0
24,"Dominik Gajdzinski",1,1,1,1,0,0,0,0,0,0,1,0.000,0,0,0,0,0,0,0,0,0,0,2.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,1,0,0,0,1,0,0.000,100.0,100.0,100.0
"","TOTALS",1,36,32,14,14,0,9,5,0,0,11,0.438,4,1,3,4,0,1,0,0,0,0,0.694,0.500,0.611,0.594,1.094,0.373,0.875,0.778,4,1,0,0,0,17,7,0.412,52.8,52.8,33.3
