"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
40,"Gracjan Bielecki",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
1,"Edgar Toro",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
21,"Artur Wojtczak",1,0,1,1,0,0,0,0,0,0,0,0,0,0.000
13,"Kacper Kamiński",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
17,"Mateusz Serafin",1,0,0,0,12,0,2,0,0,0,0,0,0,1.000
16,"Michał Nowicki",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
45,"Kacper Cichowski",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
9,"Radosław Jóźwiak",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
48,"Samuel Camacho",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
7,"Eryk Kieruńczak",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
14,"Kacper Bielecki",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
12,"Anderson Reyes",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
"","TOTALS",1,0,1,1,15,1,2,0,0,0,0,0,0,0.941
