"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
48,"Jan Pruszyński",1,4,4,2,2,1,1,0,0,0,1,0.500,0,0,0,0,0,0,1,0,0,0,0.750,0.500,0.750,0.500,1.000,0.350,0.500,1.000,1.000,1,0,0,0,0,2,2,1.000,75.0,75.0,75.0
7,"Phil Richmond",1,4,4,2,3,0,3,0,0,0,3,0.750,0,0,0,0,0,1,0,0,0,0,1.250,0.750,0.750,0.750,1.500,0.525,0.750,1.000,1.000,0,0,0,0,0,2,2,1.000,75.0,75.0,75.0
25,"Wiktor Wróbel Habuda",1,4,3,1,2,0,2,0,0,0,1,0.667,0,0,0,0,1,0,0,0,0,0,0.500,0.750,1.000,0.667,1.417,0.504,0.667,1.000,0.750,1,0,0,0,0,2,1,0.500,75.0,75.0,50.0
22,"Hubert Szczeszka",1,4,4,1,1,0,0,0,1,0,2,0.250,0,1,1,2,0,1,0,0,0,0,0.750,0.250,0.250,0.750,1.000,0.300,0.500,0.500,0.500,0,1,0,0,0,3,1,0.333,50.0,50.0,50.0
"","Marceli Buchacz",1,4,3,0,0,0,0,0,0,0,0,0.000,1,2,0,2,0,0,0,0,0,0,0.000,0.250,0.250,0.000,0.250,0.113,0.000,0.333,0.250,0,0,0,0,0,1,0,0.000,50.0,50.0,50.0
18,"Tymofii Zadniprianyi",1,4,3,1,2,0,2,0,0,0,1,0.667,1,1,0,1,0,0,0,0,0,0,0.500,0.750,0.750,0.667,1.417,0.504,1.000,0.667,0.500,0,0,0,0,0,3,2,0.667,50.0,50.0,50.0
34,"Ian Waldron",1,4,4,2,1,0,1,0,0,0,0,0.250,0,0,0,0,0,0,0,0,0,0,0.500,0.250,0.500,0.250,0.500,0.175,0.250,1.000,1.000,1,0,0,0,0,0,0,0.000,25.0,25.0,0.0
9,"Juan Godoy Uzcategui",1,3,2,0,0,0,0,0,0,0,0,0.000,1,1,0,1,0,0,0,0,0,0,0.000,0.333,0.333,0.000,0.333,0.150,0.000,0.500,0.333,0,0,0,0,0,1,0,0.000,33.3,33.3,33.3
29,"Mikołaj Wąsiewicz",1,4,2,2,1,0,1,0,0,0,0,0.500,2,1,0,1,0,0,0,0,0,0,0.500,0.750,0.750,0.500,1.250,0.463,1.000,0.500,0.250,0,0,0,0,0,1,0,0.000,50.0,50.0,25.0
2,"Yarosłav Faryha",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
5,"Igor Sawczuk",1,1,1,0,1,0,0,1,0,0,2,1.000,0,0,0,0,0,0,0,0,0,0,2.000,1.000,1.000,2.000,3.000,0.950,1.000,1.000,1.000,0,0,0,0,0,1,1,1.000,100.0,100.0,100.0
26,"Heorhi Mikhalchanka",1,1,1,2,1,0,0,1,0,0,1,1.000,0,0,0,0,0,0,0,0,0,0,3.000,1.000,1.000,2.000,3.000,0.950,1.000,1.000,1.000,0,0,0,0,0,1,1,1.000,100.0,100.0,100.0
"","TOTALS",1,37,31,13,14,1,10,2,1,0,11,0.452,5,6,1,7,1,2,1,0,0,0,0.649,0.541,0.622,0.581,1.121,0.388,0.583,0.774,0.649,3,1,0,0,0,17,10,0.588,56.8,56.8,48.6
