"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
69,"Yutaro Takiguchi",1,3,2,2,2,0,2,0,0,0,0,1.000,1,0,0,0,0,0,0,0,0,0,0.667,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0.667,0,0,0,0,0,0,0,0.000,100.0,100.0,33.3
67,"Carter Olek",1,3,3,1,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.333,0.000,0.333,0.000,0.000,0.000,0.000,1.000,1.000,1,0,0,0,0,1,0,0.000,0.0,0.0,0.0
76,"Aliaksandr Teoaruk",1,3,3,0,0,0,0,0,0,0,0,0.000,0,1,2,3,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,2,0,0.000,0.0,0.0,0.0
98,"Filip Sulikowski",1,3,3,0,0,0,0,0,0,0,1,0.000,0,2,0,2,0,0,0,0,0,0,0.333,0.000,0.333,0.000,0.000,0.000,0.000,0.333,0.333,1,0,0,0,0,2,0,0.000,33.3,33.3,33.3
7,"Damian Koza",1,3,2,0,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0.000,0.333,0.333,0.000,0.333,0.150,0.000,1.000,0.667,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
29,"Witold Baranowski",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,0,0,0.000,50.0,50.0,50.0
21,"Dawid Trepczyk",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,100.0,100.0,100.0
13,"Jakub Zelewski",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,2,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,100.0,100.0,100.0
58,"Wojciech Wecłaś",1,2,2,0,0,0,0,0,0,0,0,0.000,0,1,1,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
5,"Grzegorz Białas",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
45,"Marcin Kurkowiak",1,1,1,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
"","TOTALS",1,24,22,3,2,0,2,0,0,0,1,0.091,2,5,7,12,0,0,0,0,0,0,0.167,0.167,0.250,0.091,0.258,0.098,0.200,0.455,0.417,2,0,0,0,0,6,0,0.000,33.3,33.3,25.0
