"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
69,"Yutaro Takiguchi",1,0,0,0,7,1,2,1,0,0,1,0,0,1.000
67,"Carter Olek",1,0,1,1,0,3,0,0,0,0,0,0,0,0.750
76,"Aliaksandr Teoaruk",1,0,0,0,3,1,0,0,0,0,0,0,0,1.000
98,"Filip Sulikowski",1,1,0,1,1,0,0,0,0,0,0,1,0,0.500
7,"Damian Koza",1,1,0,1,0,1,0,0,0,0,0,1,0,0.500
29,"Witold Baranowski",1,0,0,0,4,0,0,0,0,0,0,0,0,1.000
21,"Dawid Trepczyk",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
13,"Jakub Zelewski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
58,"Wojciech Wecłaś",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
5,"Grzegorz Białas",1,0,1,1,1,0,0,0,0,0,0,0,0,0.500
45,"Marcin Kurkowiak",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,2,2,4,16,6,2,1,0,0,1,2,0,0.846
