"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
9,"Miguel Lopez",1,5,4,4,3,0,1,2,0,0,2,0.750,1,0,0,0,0,2,0,0,0,0,1.200,0.800,1.000,1.250,2.050,0.673,0.750,1.000,0.800,1,0,0,0,0,1,1,1.000,60.0,60.0,20.0
63,"Franek Filozof",1,5,3,3,2,0,2,0,0,0,2,0.667,2,1,0,1,0,1,0,0,0,0,1.000,0.800,0.800,0.667,1.467,0.527,1.000,0.667,0.400,0,0,0,0,0,3,2,0.667,40.0,40.0,40.0
79,"Aaron Arroyo",1,5,4,1,1,0,0,1,0,0,4,0.250,1,0,0,0,0,0,0,0,0,0,1.000,0.400,0.400,0.500,0.900,0.305,0.250,1.000,0.800,0,0,0,0,0,4,1,0.250,40.0,40.0,40.0
12,"Piotr Pludowski",1,4,3,0,2,0,2,0,0,0,2,0.667,0,0,0,0,1,0,0,0,0,0,0.500,0.750,0.750,0.667,1.417,0.504,0.667,1.000,0.750,0,0,0,0,0,3,2,0.667,75.0,75.0,75.0
14,"Pawel Lakomy",1,2,2,0,0,0,0,0,0,0,1,0.000,0,0,0,0,0,0,0,0,0,0,0.500,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,1,0,0,0,1,0,0.000,100.0,50.0,50.0
34,"Illia Sheremeta",1,3,3,0,2,0,2,0,0,0,0,0.667,0,0,1,1,0,0,0,0,0,0,0.000,0.667,0.667,0.667,1.333,0.467,1.000,0.667,0.667,0,0,0,0,0,1,0,0.000,100.0,100.0,33.3
3,"Anton Pryputnievich",1,4,3,1,0,0,0,0,0,0,0,0.000,1,0,1,1,0,1,0,0,0,0,0.250,0.250,0.250,0.000,0.250,0.113,0.000,0.667,0.500,0,1,0,1,0,1,0,0.000,0.0,0.0,0.0
20,"Jakub Lenhart",1,4,2,2,1,0,0,0,0,1,1,0.500,2,1,0,1,0,0,0,0,0,0,0.500,0.750,0.750,2.000,2.750,0.838,0.000,0.500,0.250,0,0,0,0,0,1,0,0.000,50.0,50.0,50.0
53,"Wiktor Szymanski",1,3,3,2,2,1,1,0,0,0,0,0.667,0,0,1,1,0,0,0,0,0,0,0.667,0.667,0.667,0.667,1.333,0.467,1.000,0.667,0.667,0,0,0,0,0,1,1,1.000,66.7,66.7,33.3
17,"Robert Roggenbuck",1,2,0,0,0,0,0,0,0,0,1,0.000,1,0,0,0,1,0,0,0,0,0,0.500,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,100.0,100.0,100.0
7,"Gabriel Plaza",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
99,"Teo Laczny",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
64,"Marek Kozioł ",1,1,0,0,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
54,"Marek Kubiszewski",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,39,28,13,13,1,8,3,0,1,13,0.464,9,2,3,5,2,4,0,0,0,0,0.641,0.615,0.641,0.679,1.294,0.447,0.545,0.821,0.590,1,2,0,1,0,16,7,0.438,53.8,51.3,38.5
