"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
9,"Miguel Lopez",1,0,0,0,0,4,0,0,1,0,0,0,0,1.000
63,"Franek Filozof",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
79,"Aaron Arroyo",1,0,0,0,8,0,0,0,0,0,0,0,0,1.000
12,"Piotr Pludowski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
34,"Illia Sheremeta",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
3,"Anton Pryputnievich",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
20,"Jakub Lenhart",1,0,0,0,7,1,0,0,1,0,0,0,0,1.000
53,"Wiktor Szymanski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
57,"Cesar Malony",1,0,0,0,0,2,0,0,0,0,0,1,0,1.000
7,"Gabriel Plaza",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
99,"Teo Laczny",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
64,"Marek Kozioł ",1,0,0,0,3,2,0,0,1,0,0,0,0,1.000
54,"Marek Kubiszewski",1,0,1,1,0,1,0,0,0,0,0,0,0,0.500
"","TOTALS",1,0,1,1,18,11,0,0,1,0,0,1,0,0.967
