"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
53,"Weżgowiec Patryk",1,0,0,0,5,0,4,0,0,0,0,0,0,1.000
32,"Struminski Stanislaw",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
69,"Motas Grzegorz",1,0,0,0,3,2,0,0,1,0,0,0,0,1.000
58,"Rafał Krajewski",1,0,0,0,4,1,0,0,1,0,0,0,0,1.000
4,"Patryk Zajac",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
23,"Marcel Słomian",1,0,0,0,0,4,0,0,1,0,0,0,0,1.000
33,"Adam Dublasiewicz",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
54,"Arkadiusz Zurkowski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
16,"Szymon Krolik",1,1,0,1,0,0,0,0,0,0,0,1,0,0.000
12,"Nikodem Krzywdzinski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,1,0,1,15,8,4,0,1,0,0,1,0,0.958
