"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
32,"Struminski Stanislaw",1,4,3,1,1,0,1,0,0,0,0,0.333,1,0,0,0,0,0,0,0,0,0,0.250,0.500,0.500,0.333,0.833,0.308,0.333,1.000,0.750,0,0,0,0,0,0,0,0.000,50.0,50.0,25.0
6,"Szymon Krolik",1,3,3,0,2,0,2,0,0,0,0,0.667,0,0,0,0,0,0,1,0,0,0,0.000,0.667,0.667,0.667,1.333,0.467,0.667,1.000,1.000,0,0,0,0,0,0,0,0.000,66.7,66.7,0.0
53,"Weżgowiec Patryk",1,3,3,1,2,0,2,0,0,0,1,0.667,0,1,0,1,0,0,0,0,0,0,0.667,0.667,0.667,0.667,1.333,0.467,1.000,0.667,0.667,0,0,0,0,0,1,1,1.000,66.7,66.7,33.3
69,"Motas Grzegorz",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,1,0,0,0,1,0,0.000,0.0,0.0,0.0
4,"Patryk Zajac",1,3,3,0,2,0,1,1,0,0,1,0.667,0,0,0,0,0,0,0,0,0,0,0.333,0.667,0.667,1.000,1.667,0.550,0.667,1.000,1.000,0,0,0,0,0,1,1,1.000,66.7,66.7,33.3
23,"Marcel Słomian",1,3,2,0,0,0,0,0,0,0,0,0.000,1,1,0,1,0,0,0,0,0,0,0.000,0.333,0.333,0.000,0.333,0.150,0.000,0.500,0.333,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
33,"Adam Dublasiewicz",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.667,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
45,"Olaf Chorobik",1,3,3,0,0,0,0,0,0,0,0,0.000,0,2,0,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.333,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
54,"Arkadiusz Zurkowski",1,3,2,0,0,0,0,0,0,0,0,0.000,1,1,0,1,0,0,0,0,0,0,0.000,0.333,0.333,0.000,0.333,0.150,0.000,0.500,0.333,0,0,0,0,0,0,0,0.000,33.3,33.3,33.3
13,"Maksymilian  Herc",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,28,25,2,7,0,6,1,0,0,2,0.280,3,5,1,6,0,0,1,0,0,0,0.143,0.357,0.357,0.320,0.677,0.241,0.368,0.760,0.679,0,1,0,0,0,5,2,0.400,32.1,32.1,14.3
