"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
"","Marceli Buchacz",1,4,4,1,1,0,0,1,0,0,0,0.250,0,0,1,1,0,0,0,0,0,0,0.250,0.250,0.250,0.500,0.750,0.238,0.333,0.750,0.750,0,0,0,0,0,2,0,0.000,25.0,25.0,0.0
7,"Phil Richmond",1,3,2,0,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0.000,0.333,0.333,0.000,0.333,0.150,0.000,1.000,0.667,0,0,0,0,0,1,0,0.000,33.3,33.3,33.3
25,"Wiktor Wróbel Habuda",1,3,2,0,0,0,0,0,0,0,0,0.000,0,1,1,2,1,0,0,0,0,0,0.000,0.333,0.333,0.000,0.333,0.150,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
22,"Hubert Szczeszka",1,3,2,0,0,0,0,0,0,0,0,0.000,1,0,1,1,0,0,0,0,0,0,0.000,0.333,0.333,0.000,0.333,0.150,0.000,0.500,0.333,0,0,0,0,0,0,0,0.000,33.3,33.3,33.3
18,"Tymofii Zadniprianyi",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,2,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.333,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
29,"Mikołaj Wąsiewicz",1,3,2,0,0,0,0,0,0,0,0,0.000,1,1,1,2,0,0,0,0,0,0,0.000,0.333,0.333,0.000,0.333,0.150,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,33.3,33.3,33.3
26,"Heorhi Mikhalchanka",1,3,2,0,0,0,0,0,0,0,0,0.000,1,0,2,2,0,0,0,0,0,0,0.000,0.333,0.333,0.000,0.333,0.150,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,66.7,66.7,66.7
57,"Tadeusz Romanowski",1,3,2,0,0,0,0,0,0,0,0,0.000,1,1,1,2,0,0,0,0,0,0,0.000,0.333,0.333,0.000,0.333,0.150,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
"","Dawid Skarżycki",1,3,1,0,0,0,0,0,0,0,0,0.000,2,0,1,1,0,0,0,0,0,0,0.000,0.667,0.667,0.000,0.667,0.300,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,33.3,33.3,33.3
19,"Kamil Kobierski",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,0,0,0.000,100.0,100.0,100.0
2,"Yarosłav Faryha",1,1,0,0,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,100.0,100.0,100.0
77,"Mikolaj Orlowski",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
3,"Igor Tarka",1,1,1,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,32,23,1,1,0,0,1,0,0,0,0.043,8,4,11,15,1,0,0,0,0,0,0.031,0.313,0.313,0.087,0.399,0.162,0.125,0.348,0.250,0,0,0,0,0,4,0,0.000,28.1,28.1,25.0
