"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
"","Marceli Buchacz",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
7,"Phil Richmond",1,0,0,0,0,3,0,0,0,0,0,0,0,1.000
25,"Wiktor Wróbel Habuda",1,1,0,1,7,0,0,0,0,0,1,1,0,0.875
22,"Hubert Szczeszka",1,0,0,0,6,0,0,0,0,0,0,0,0,1.000
18,"Tymofii Zadniprianyi",1,1,0,1,3,2,0,0,0,0,0,0,0,0.833
29,"Mikołaj Wąsiewicz",1,0,1,1,0,0,0,0,0,0,0,0,0,0.000
26,"Heorhi Mikhalchanka",1,0,0,0,0,2,0,0,0,0,0,0,0,1.000
57,"Tadeusz Romanowski",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
"","Dawid Skarżycki",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
20,"Wiktor Mantorski",1,0,0,0,0,1,0,0,0,0,0,2,0,1.000
"","TOTALS",1,2,1,3,21,8,0,0,0,0,1,3,0,0.906
