"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
40,"Gracjan Bielecki",1,5,3,3,2,1,1,0,0,0,0,0.667,2,0,1,1,0,0,0,0,0,0,0.600,0.800,0.800,0.667,1.467,0.527,1.000,0.667,0.400,0,0,0,0,0,1,1,1.000,80.0,80.0,60.0
1,"Edgar Toro",1,5,4,1,3,0,1,2,0,0,3,0.750,1,0,0,0,0,0,0,0,0,0,0.800,0.800,0.800,1.250,2.050,0.673,0.750,1.000,0.800,0,0,0,0,0,2,1,0.500,80.0,80.0,60.0
23,"Jakub Wojtczak",1,5,4,1,1,0,1,0,0,0,0,0.250,1,0,0,0,0,0,0,0,0,0,0.200,0.400,0.600,0.250,0.650,0.243,0.250,1.000,0.800,1,0,0,0,0,3,0,0.000,40.0,40.0,20.0
21,"Artur Wojtczak",1,5,4,0,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0.000,0.200,0.200,0.000,0.200,0.090,0.000,1.000,0.800,0,0,0,0,0,3,0,0.000,0.0,0.0,0.0
13,"Kacper Kamiński",1,2,1,0,0,0,0,0,0,0,0,0.000,1,0,1,1,0,0,0,0,0,0,0.000,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,100.0,100.0,100.0
17,"Mateusz Serafin",1,5,5,1,1,0,1,0,0,0,0,0.200,0,2,1,3,0,0,0,0,0,0,0.200,0.200,0.400,0.200,0.400,0.140,0.500,0.400,0.400,1,0,0,0,0,3,1,0.333,20.0,20.0,20.0
16,"Michał Nowicki",1,5,5,1,1,0,1,0,0,0,1,0.200,0,0,1,1,0,0,0,0,0,0,0.400,0.200,0.200,0.200,0.400,0.140,0.250,0.800,0.800,0,0,0,0,0,3,1,0.333,20.0,20.0,20.0
12,"Anderson Reyes",1,5,4,3,3,0,0,1,0,2,4,0.750,1,0,0,0,0,0,0,0,0,0,1.000,0.800,0.800,2.500,3.300,0.985,0.500,1.000,0.800,0,0,0,0,0,2,1,0.500,60.0,60.0,40.0
9,"Radosław Jóźwiak",1,4,3,2,2,0,2,0,0,0,1,0.667,1,0,0,0,0,0,0,0,0,0,0.750,0.750,0.750,0.667,1.417,0.504,0.667,1.000,0.750,0,0,0,0,0,1,1,1.000,100.0,100.0,75.0
28,"Eryk Kieruńczak",1,3,2,1,1,0,1,0,0,0,1,0.500,0,0,0,0,1,0,0,0,0,0,0.667,0.667,0.667,0.500,1.167,0.425,0.500,1.000,0.667,0,0,0,0,0,1,1,1.000,33.3,33.3,33.3
14,"Kacperek Bielecki",1,1,1,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,45,36,13,14,1,8,3,0,2,10,0.389,8,3,4,7,1,0,0,0,0,0,0.467,0.511,0.556,0.639,1.150,0.390,0.444,0.806,0.644,2,0,0,0,0,19,7,0.368,48.9,48.9,37.8
