"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
50,"Oh Yong-Yo  ",1,4,3,1,2,0,2,0,0,0,0,0.667,1,0,1,1,0,4,0,0,0,0,0.250,0.750,0.750,0.667,1.417,0.504,1.000,0.667,0.500,0,0,0,0,0,1,0,0.000,50.0,50.0,0.0
66,"Bob Rezaie",1,4,3,0,1,0,1,0,0,0,0,0.333,1,1,0,1,0,1,1,0,0,0,0.000,0.500,0.500,0.333,0.833,0.308,0.500,0.667,0.500,0,0,0,0,0,0,0,0.000,25.0,25.0,0.0
36," Kurowski",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.667,0,0,0,0,0,1,0,0.000,100.0,66.7,66.7
20," Myrek",1,3,3,2,2,0,2,0,0,0,0,0.667,0,0,0,0,0,3,0,0,0,0,0.667,0.667,0.667,0.667,1.333,0.467,0.667,1.000,1.000,0,0,0,0,0,0,0,0.000,100.0,66.7,0.0
32," Kasinski",1,3,3,0,1,0,1,0,0,0,0,0.333,0,0,1,1,0,0,0,0,0,0,0.000,0.333,0.333,0.333,0.667,0.233,0.500,0.667,0.667,0,0,0,0,0,1,0,0.000,33.3,33.3,0.0
19," Mionczynski",1,3,3,0,1,0,1,0,0,0,2,0.333,0,1,0,1,0,0,0,0,0,0,0.667,0.333,0.333,0.333,0.667,0.233,0.500,0.667,0.667,0,0,0,0,0,2,1,0.500,66.7,66.7,66.7
14," Pałacz",1,3,3,0,0,0,0,0,0,0,0,0.000,0,1,2,3,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
87,"Olivier Duśko",1,3,3,0,0,0,0,0,0,0,0,0.000,0,3,0,3,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
71," Zawadzki",1,3,3,0,1,0,0,1,0,0,0,0.333,0,1,1,2,0,0,1,0,0,0,0.000,0.333,0.333,0.667,1.000,0.317,1.000,0.333,0.333,0,0,0,0,0,0,0,0.000,33.3,33.3,33.3
"","TOTALS",1,29,27,3,8,0,7,1,0,0,2,0.296,2,7,6,13,0,8,2,0,0,0,0.172,0.345,0.345,0.333,0.678,0.239,0.571,0.519,0.483,0,0,0,0,0,6,1,0.167,44.8,37.9,17.2
