"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
50,"Oh Yong-Yo  ",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
66,"Bob Rezaie",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
36," Kurowski",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
32," Kasinski",1,0,0,0,4,0,0,0,0,0,0,0,0,1.000
19," Mionczynski",1,0,0,0,3,3,0,0,0,0,0,0,0,1.000
14," Pałacz",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
87,"Olivier Duśko",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
71," Zawadzki",1,0,0,0,7,0,11,0,0,0,0,0,0,1.000
69,"Grzegorz Idzik",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
"","TOTALS",1,0,0,0,17,4,11,0,0,0,0,0,0,1.000
