"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
41,"Patryk Stanoszek",1,4,4,1,2,0,1,1,0,0,0,0.500,0,1,0,1,0,2,0,0,0,0,0.250,0.500,0.500,0.750,1.250,0.413,0.667,0.750,0.750,0,0,0,0,0,2,1,0.500,75.0,75.0,50.0
22," Rogowiec",1,3,3,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.667,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
4,"Bartek Wycisk",1,4,3,2,1,0,0,1,0,0,0,0.333,1,0,0,0,0,4,0,0,0,0,0.500,0.500,0.750,0.667,1.167,0.392,0.333,1.000,0.750,1,0,0,0,0,1,0,0.000,50.0,25.0,0.0
13," Szczygiel",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
26," Urbanczynk",1,3,2,1,0,0,0,0,0,0,0,0.000,1,1,0,1,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.333,0.150,0.000,0.500,0.333,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
58," Osiński",1,3,2,2,1,0,0,1,0,0,2,0.500,1,0,1,1,0,2,0,0,0,0,1.333,0.667,0.667,1.000,1.667,0.550,1.000,0.500,0.333,0,0,0,0,0,1,1,1.000,33.3,33.3,33.3
64," Andrzejewski",1,3,2,2,2,0,0,2,0,0,1,1.000,1,0,0,0,0,2,1,0,0,0,1.000,1.000,1.000,2.000,3.000,0.950,1.000,1.000,0.667,0,0,0,0,0,1,1,1.000,100.0,100.0,66.7
15," Karasiewicz",1,3,2,2,1,0,1,0,0,0,2,0.500,1,0,1,1,0,3,0,0,0,0,1.333,0.667,0.667,0.500,1.167,0.425,1.000,0.500,0.333,0,0,0,0,0,2,1,0.500,66.7,66.7,66.7
66," Polonek",1,3,3,0,2,0,2,0,0,0,1,0.667,0,1,0,1,0,2,1,0,0,0,0.333,0.667,0.667,0.667,1.333,0.467,1.000,0.667,0.667,0,0,0,0,0,1,1,1.000,66.7,66.7,33.3
75,"Roman Pełka",1,3,3,0,1,0,1,0,0,0,1,0.333,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.333,0.667,0.233,0.333,1.000,1.000,0,0,0,0,0,2,1,0.500,66.7,33.3,33.3
70,"Emil Dudek",1,1,1,0,1,0,1,0,0,0,0,1.000,0,0,0,0,0,1,0,0,0,0,0.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,1.000,0,0,0,0,0,0,0,0.000,100.0,100.0,0.0
"","TOTALS",1,31,26,10,11,0,6,5,0,0,7,0.423,5,4,3,7,0,17,3,0,0,0,0.548,0.516,0.548,0.615,1.132,0.386,0.579,0.731,0.613,1,0,0,0,0,12,6,0.500,51.6,45.2,29.0
