"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
41,"Patryk Stanoszek",1,0,0,0,0,4,0,1,0,0,0,0,0,1.000
22," Rogowiec",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
4,"Bartek Wycisk",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
13," Szczygiel",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
26," Urbanczynk",1,0,0,0,11,0,4,0,0,0,0,0,0,1.000
58," Osiński",1,0,0,0,5,0,0,1,0,0,0,0,0,1.000
64," Andrzejewski",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
15," Karasiewicz",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
66," Polonek",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
75,"Roman Pełka",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
70,"Emil Dudek",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,0,0,19,5,4,2,0,0,0,0,0,1.000
