"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
32," Strumiński",1,0,0,0,9,0,0,0,0,0,0,0,0,1.000
23," Rainko",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
53," Weżgowiec",1,0,0,0,3,1,5,1,0,0,0,0,0,1.000
16," Królik",1,0,1,1,1,2,0,0,0,0,0,0,0,0.750
04," Zając",1,0,0,0,3,0,0,0,0,0,0,0,0,1.000
45," Chorobik",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
33," Dublasiewicz",1,0,2,2,2,0,9,0,0,0,0,0,0,0.500
54," Żurkowski A.",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
23," Słomian",1,0,1,1,1,0,0,0,0,0,0,0,0,0.500
19," Mańdok",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,4,4,24,4,14,1,0,0,0,0,0,0.875
