"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
07,"Igor  Fojcik",1,5,4,1,0,0,0,0,0,0,0,0.000,1,1,0,1,0,1,0,0,0,0,0.200,0.200,0.200,0.000,0.200,0.090,0.000,0.750,0.600,0,0,0,0,0,2,0,0.000,60.0,20.0,20.0
51,"Dawid Korzekwa",1,6,5,1,2,0,1,1,0,0,0,0.400,1,1,1,2,0,1,0,0,0,0,0.167,0.500,0.500,0.600,1.100,0.375,0.667,0.600,0.500,0,0,0,0,0,1,0,0.000,66.7,50.0,16.7
72,"Dominik Grzecicha",1,5,3,1,2,0,2,0,0,0,0,0.667,1,0,0,0,1,0,0,0,0,0,0.200,0.800,0.800,0.667,1.467,0.527,0.667,1.000,0.600,0,0,0,0,0,0,0,0.000,60.0,40.0,0.0
28,"Jakub Szymura",1,5,2,2,1,0,1,0,0,0,1,0.500,3,0,0,0,0,1,0,0,0,0,0.600,0.800,1.000,0.500,1.300,0.485,0.500,1.000,0.400,1,0,0,0,0,0,0,0.000,60.0,60.0,40.0
3,"Carlos Salas",1,3,3,1,1,0,1,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.333,0.667,0.233,0.333,1.000,1.000,0,0,0,0,0,2,0,0.000,66.7,33.3,0.0
41,"Szymon Dwojakowski",1,6,3,2,0,0,0,0,0,0,0,0.000,1,0,0,0,2,4,0,0,0,0,0.333,0.500,0.667,0.000,0.500,0.225,0.000,1.000,0.500,1,0,0,0,0,2,0,0.000,16.7,0.0,0.0
18,"Przemek Sobik",1,6,5,2,3,0,2,0,1,0,1,0.600,1,0,0,0,0,6,0,0,0,0,0.500,0.667,0.667,1.000,1.667,0.550,0.600,1.000,0.833,0,0,0,0,0,1,1,1.000,83.3,66.7,33.3
22,"Szymon Garus",1,5,4,0,1,0,0,1,0,0,3,0.250,1,0,0,0,0,1,1,0,0,0,0.600,0.400,0.400,0.500,0.900,0.305,0.250,1.000,0.800,0,0,0,0,0,2,1,0.500,60.0,40.0,40.0
9,"Maks Serwotka",1,5,3,1,1,0,1,0,0,0,0,0.333,2,0,1,1,0,0,0,0,0,0,0.200,0.600,0.600,0.333,0.933,0.353,0.500,0.667,0.400,0,0,0,0,0,1,1,1.000,60.0,40.0,40.0
24,"Adrian Mularczyk",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,2,0,0.000,100.0,33.3,33.3
"","TOTALS",1,49,35,11,11,0,8,2,1,0,5,0.314,11,2,2,4,3,14,1,0,0,0,0.327,0.510,0.551,0.429,0.939,0.337,0.355,0.886,0.633,2,0,0,0,0,13,3,0.231,61.2,38.8,22.4
