"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
32,"Stanisław Strumiński",1,4,3,1,1,0,1,0,0,0,1,0.333,1,0,0,0,0,2,0,0,0,0,0.500,0.500,0.500,0.333,0.833,0.308,0.333,1.000,0.750,0,0,0,0,0,1,1,1.000,75.0,75.0,75.0
23,"Ariel Rainko",1,4,2,1,0,0,0,0,0,0,0,0.000,1,0,0,0,1,0,0,0,0,0,0.250,0.500,0.750,0.000,0.500,0.225,0.000,1.000,0.500,1,0,0,0,0,0,0,0.000,25.0,25.0,25.0
53,"Patryk Weżgowiec",1,4,4,1,1,0,1,0,0,0,1,0.250,0,0,1,1,0,1,0,0,0,0,0.500,0.250,0.250,0.250,0.500,0.175,0.333,0.750,0.750,0,1,0,0,0,2,1,0.500,50.0,50.0,50.0
16,"Szymon Królik",1,4,3,0,2,0,2,0,0,0,0,0.667,1,0,1,1,0,1,0,0,0,0,0.000,0.750,0.750,0.667,1.417,0.504,1.000,0.667,0.500,0,0,0,0,0,1,0,0.000,50.0,50.0,0.0
04,"Patryk Zając",1,4,3,2,0,0,0,0,0,0,0,0.000,1,2,0,2,0,0,0,0,0,0,0.500,0.250,0.250,0.000,0.250,0.113,0.000,0.333,0.250,0,1,0,0,0,1,0,0.000,25.0,25.0,25.0
66,"Rafał Krajewski",1,4,4,0,1,0,0,1,0,0,2,0.250,0,1,1,2,0,0,0,0,0,0,0.500,0.250,0.250,0.500,0.750,0.238,0.500,0.500,0.500,0,0,0,0,0,3,1,0.333,25.0,25.0,25.0
45,"Olaf Chrobik",1,3,2,0,1,0,1,0,0,0,0,0.500,1,0,0,0,0,1,0,0,0,0,0.000,0.667,0.667,0.500,1.167,0.425,0.500,1.000,0.667,0,0,0,0,0,2,1,0.500,33.3,33.3,33.3
33,"Adam Dublasiewicz",1,3,2,1,0,0,0,0,0,0,0,0.000,1,1,1,2,0,0,0,0,0,0,0.333,0.333,0.333,0.000,0.333,0.150,0.000,0.000,0.000,0,0,0,0,0,2,0,0.000,100.0,100.0,100.0
69,"Grzegorz Motas",1,3,3,1,1,0,1,0,0,0,2,0.333,0,1,0,1,0,0,0,0,0,0,1.000,0.333,0.333,0.333,0.667,0.233,0.500,0.667,0.667,0,0,0,0,0,1,1,1.000,100.0,100.0,100.0
54,"Arkadiusz Żurkowski",1,0,0,1,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,33,26,8,7,0,6,1,0,0,6,0.269,6,5,4,9,1,5,0,0,0,0,0.424,0.424,0.455,0.308,0.732,0.268,0.412,0.654,0.515,1,2,0,0,0,13,5,0.385,51.5,51.5,45.5
