"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
41,"Szymon Dwojakowski",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
51,"Dawid Korzekwa",1,0,0,0,2,1,0,0,0,0,0,0,0,1.000
72,"Dominik Grzecicha",1,0,0,0,9,0,5,0,0,0,0,0,0,1.000
28,"Jakub Szymura",1,0,1,1,0,0,0,0,0,0,0,0,0,0.000
24,"Adrian Mularczyk",1,0,1,1,3,0,0,0,0,0,0,0,0,0.750
09,"Maksymilian Serwotka",1,0,1,1,1,0,0,0,0,0,0,0,0,0.500
26,"Mateusz Benisz",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
18,"Przemek Sobik",1,0,1,1,1,2,0,0,0,0,0,0,0,0.750
05,"Gabriel Wilichnowski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
03,"Carlos Salas",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,4,4,18,3,5,0,0,0,0,0,0,0.840
