"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
98,"Filip Sulikowski",1,1,1,1,1,0,1,0,0,0,0,1.000,0,0,0,0,0,2,0,0,0,0,1.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,1.000,0,0,0,0,0,0,0,0.000,100.0,100.0,0.0
67,"Carter Olek",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,2,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
69,"Yutaro Takiguchi",1,2,2,0,1,0,1,0,0,0,0,0.500,0,0,0,0,0,1,0,0,0,0,0.000,0.500,0.500,0.500,1.000,0.350,0.500,1.000,1.000,0,0,0,0,0,1,1,1.000,50.0,50.0,50.0
76,"Aliaksandr Fedaruk",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
68,"Michał Smektalski",1,2,2,0,0,0,0,0,0,0,0,0.000,0,1,1,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,100.0,100.0,100.0
5,"Grzegorz Białas",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,2,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,50.0,50.0,50.0
29,"Witold Baranowski",1,2,1,0,0,0,0,0,0,0,0,0.000,1,0,1,1,0,0,0,0,0,0,0.000,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,50.0,50.0,50.0
58,"Wojciech Wecłaś",1,2,1,0,0,0,0,0,0,0,0,0.000,1,0,1,1,0,0,0,0,0,0,0.000,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
13,"Jakub Zelewski",1,2,2,0,0,0,0,0,0,0,0,0.000,0,1,1,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
45,"Marcin Kurkowiak",1,1,1,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,18,16,1,2,0,2,0,0,0,0,0.125,2,3,9,12,0,3,0,0,0,0,0.056,0.222,0.222,0.125,0.347,0.131,0.500,0.250,0.222,0,0,0,0,0,4,1,0.250,33.3,33.3,27.8
