"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
98,"Filip Sulikowski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
67,"Carter Olek",1,0,0,0,1,3,0,0,0,0,0,0,0,1.000
69,"Yutaro Takiguchi",1,0,0,0,1,0,1,0,0,0,3,0,0,1.000
76,"Aliaksandr Fedaruk",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
68,"Michał Smektalski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
5,"Grzegorz Białas",1,0,1,1,0,2,0,0,0,0,0,0,0,0.667
29,"Witold Baranowski",1,0,0,0,8,0,0,0,0,0,0,0,0,1.000
58,"Wojciech Wecłaś",1,0,1,1,1,0,0,0,0,0,0,0,0,0.500
13,"Jakub Zelewski",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
7,"Damian Koza",1,0,0,0,0,2,0,0,0,0,0,7,0,1.000
45,"Marcin Kurkowiak",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,2,2,14,8,1,0,0,0,3,7,0,0.917
