"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
40,"Gracjan Bielecki",1,3,1,1,0,0,0,0,0,0,0,0.000,1,1,0,1,0,0,0,1,0,1,0.333,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,33.3,33.3,33.3
1,"Edgar Toro",1,5,3,2,0,0,0,0,0,0,1,0.000,1,0,0,0,0,1,0,0,1,1,0.600,0.200,0.600,0.000,0.200,0.090,0.000,1.000,0.600,2,0,0,0,0,2,0,0.000,20.0,20.0,20.0
23,"Jakub Wojtczak",1,4,2,1,0,0,0,0,0,0,0,0.000,2,1,0,1,0,0,0,0,0,0,0.250,0.500,0.500,0.000,0.500,0.225,0.000,0.500,0.250,0,0,0,0,0,2,0,0.000,25.0,25.0,25.0
21,"Artur Wojtczak",1,4,2,3,2,0,1,0,0,1,4,1.000,2,0,0,0,0,0,0,0,0,0,1.500,1.000,1.000,2.500,3.500,1.075,1.000,1.000,0.500,0,0,0,0,0,1,1,1.000,75.0,75.0,50.0
6,"Wojciech Zagawa",1,3,1,1,1,0,0,1,0,0,0,1.000,2,0,0,0,0,1,0,0,0,0,0.333,1.000,1.000,2.000,3.000,0.950,1.000,1.000,0.333,0,0,0,0,0,0,0,0.000,33.3,33.3,0.0
17,"Mateusz Serafin",1,4,3,2,2,0,2,0,0,0,1,0.667,0,0,0,0,1,1,0,0,0,0,0.750,0.750,0.750,0.667,1.417,0.504,0.667,1.000,0.750,0,0,0,0,0,2,1,0.500,50.0,50.0,25.0
28,"Eryk Kieruńczak",1,3,2,0,0,0,0,0,0,0,1,0.000,1,0,1,1,0,0,0,0,0,0,0.333,0.333,0.333,0.000,0.333,0.150,0.000,0.500,0.333,0,0,0,0,0,1,0,0.000,66.7,66.7,66.7
12,"Anderson Reyes",1,4,3,2,1,0,1,0,0,0,0,0.333,1,0,2,2,0,0,0,0,0,0,0.500,0.500,0.500,0.333,0.833,0.308,1.000,0.333,0.250,0,0,0,0,0,2,0,0.000,25.0,25.0,0.0
24,"Dominik Gajdziński",1,3,2,1,2,1,0,1,0,0,1,1.000,1,0,0,0,0,0,0,0,0,0,0.667,1.000,1.000,1.500,2.500,0.825,1.000,1.000,0.667,0,0,0,0,0,0,0,0.000,100.0,100.0,66.7
13,"Kacper Kamiński",1,1,1,0,1,0,1,0,0,0,1,1.000,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,1.000,0,0,0,0,0,1,1,1.000,100.0,100.0,100.0
9,"Radosław Jóźwiak",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
45,"Kacper Cichowski",1,2,1,0,0,0,0,0,0,0,0,0.000,1,1,0,1,0,0,0,0,0,0,0.000,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
16,"Michał Nowicki",1,1,1,0,1,0,1,0,0,0,1,1.000,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,1.000,0,0,0,0,0,1,1,1.000,100.0,100.0,100.0
"","TOTALS",1,38,23,13,10,1,6,2,0,1,10,0.435,12,3,4,7,1,3,0,1,1,2,0.579,0.622,0.676,0.652,1.274,0.443,0.563,0.696,0.421,2,0,0,0,0,13,4,0.308,44.7,44.7,31.6
