"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
40,"Gracjan Bielecki",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
1,"Edgar Toro",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
23,"Jakub Wojtczak",1,0,1,1,0,0,0,0,0,0,0,1,0,0.000
21,"Artur Wojtczak",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
6,"Wojciech Zagawa",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
17,"Mateusz Serafin",1,0,0,0,5,0,0,0,0,0,0,0,0,1.000
28,"Eryk Kieruńczak",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
12,"Anderson Reyes",1,1,0,1,11,2,1,0,0,0,0,2,0,0.929
24,"Dominik Gajdziński",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
13,"Kacper Kamiński",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
9,"Radosław Jóźwiak",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
45,"Kacper Cichowski",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
16,"Michał Nowicki",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
48,"Samuel Camacho",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
"","TOTALS",1,1,1,2,18,6,1,0,0,0,0,3,0,0.923
