"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
44,"Gabriel Wilichowski",1,0,0,0,2,3,0,0,1,0,0,0,0,1.000
13,"Carlos Salas",1,1,1,2,6,2,1,1,0,0,0,0,0,0.800
41,"Szymon Dwojakowski",1,0,0,0,0,3,0,0,0,0,0,6,0,1.000
72,"Dominik Grzecicha",1,0,1,1,0,2,0,0,1,0,0,0,0,0.667
51,"Dawid Korzekwa",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
18,"Przemysław Sobik",1,0,0,0,3,2,0,0,0,0,0,0,0,1.000
28,"Jakub Szymura",1,0,0,0,9,0,0,0,1,0,0,0,0,1.000
26,"Mateusz Benisz",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
17,"Marek Setla",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,1,2,3,23,12,1,1,1,0,0,6,0,0.921
