"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","BB","Kc","Ks","SO","HBP","SB","CS","SF","SAC","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP"
9,"Miguel Lopez (L2)",1,5,3,1,1,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
63,"Franciszek Filozof",1,5,5,2,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1
79,"Aron Arroyo (L2)",1,5,3,1,2,0,2,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2
34,"Ilia Sheremeta (L3)",1,5,5,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
12,"Piotr Płudowski",1,4,4,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
20,"Jakub Lenhart",1,4,2,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,"Anton Pryputnevich",1,4,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
24,"Abel Medina",1,4,4,1,1,0,1,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1
17,"Robert Roggenbuck",1,3,2,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
54,"Marek Kubiszewski",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","TOTALS",1,39,31,9,9,0,8,1,0,0,5,8,3,4,7,0,1,1,0,0,1,0,0,1,0,13,7
