"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
9,"Miguel Lopez (L2)",1,0,0,0,2,2,0,0,0,0,0,0,0,1.000
63,"Franciszek Filozof",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
79,"Aron Arroyo (L2)",1,0,0,0,11,1,0,0,0,0,0,1,0,1.000
34,"Ilia Sheremeta (L3)",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
12,"Piotr Płudowski",1,0,0,0,1,3,0,0,0,0,0,0,0,1.000
20,"Jakub Lenhart",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
3,"Anton Pryputnevich",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
24,"Abel Medina",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
17,"Robert Roggenbuck",1,0,2,2,9,0,0,0,0,0,0,0,0,0.818
27,"Łukasz Krzemienowski",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
54,"Marek Kubiszewski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
57,"Cezar Malony (L2)",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,2,2,24,8,0,0,0,0,0,1,0,0.941
