"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","BB","Kc","Ks","SO","HBP","SB","CS","SF","SAC","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP"
44,"Gabriel Wilichowski",1,5,4,1,2,0,1,1,0,0,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0,3,1
13,"Carlos Salas",1,6,5,0,3,0,3,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4,2
41,"Szymon Dwojakowski",1,5,4,0,0,0,0,0,0,0,1,0,1,3,4,1,0,0,0,0,0,0,0,0,0,3,0
72,"Dominik Grzecicha",1,5,4,0,1,0,1,0,0,0,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,3,1
51,"Dawid Korzekwa",1,5,3,2,2,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
18,"Przemysław Sobik",1,5,4,1,2,0,1,1,0,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,2,0
28,"Jakub Szymura",1,2,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Mateusz Benisz",1,4,2,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0
17,"Marek Setla",1,4,4,2,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2
08,"Tymoteusz Piecha",1,3,3,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
"","TOTALS",1,44,34,9,15,1,9,3,0,2,7,6,5,10,15,4,2,1,0,0,0,1,0,0,0,22,6
