"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
99," Drozd",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
78," O. Zawadzki",1,0,1,1,7,0,0,0,0,0,0,0,0,0.875
36," D. Kurowski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
24," A. Tatarevick",1,0,1,1,1,1,0,0,0,0,0,0,0,0.667
50," Y. OH",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
66," B. Rezaie",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
87," O. Dysko",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
84," N. Serafin",1,0,0,0,8,0,10,0,0,0,0,0,0,1.000
69," G. Idzik",1,0,0,0,0,2,0,0,0,0,0,0,0,1.000
79," D. Buljie",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
38," D. Trzeciak",1,0,1,1,1,1,0,0,0,0,0,0,0,0.667
"","TOTALS",1,0,3,3,20,5,10,0,0,0,0,0,0,0.893
