"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
32," Strumiński",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
04," Zając",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
53," Weżgowiec",1,0,2,2,14,1,3,0,0,0,0,0,0,0.882
48," Krajewski",1,0,0,0,6,0,0,0,0,0,0,0,0,1.000
13," Herc",1,0,1,1,0,0,0,0,0,0,0,0,0,0.000
12," Krzywdziński N.",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
36," Chiliński",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
19," Mańdok",1,0,1,1,0,2,0,0,0,0,0,0,0,0.667
33," Dublasiewicz",1,0,0,0,0,3,0,0,0,0,0,0,0,1.000
30," Potempa",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,4,4,21,6,3,0,0,0,0,0,0,0.871
