"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
24," A. Tatarevick",1,3,2,2,0,0,0,0,0,0,0,0.000,0,0,0,0,1,1,0,0,0,0,0.667,0.333,0.667,0.000,0.333,0.150,0.000,1.000,0.667,1,0,0,0,0,0,0,0.000,33.3,0.0,0.0
32," M. Kasinski",1,4,3,1,0,0,0,0,0,0,0,0.000,1,0,3,3,0,0,0,0,0,0,0.250,0.250,0.250,0.000,0.250,0.113,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
69," G. Idzik",1,3,2,1,1,0,1,0,0,0,1,0.500,1,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,0.500,1.167,0.425,0.500,1.000,0.667,0,0,0,0,0,1,1,1.000,33.3,33.3,33.3
71," Zawadzki",1,3,1,1,1,0,0,1,0,0,1,1.000,1,0,0,0,1,0,0,0,0,0,0.667,1.000,1.000,2.000,3.000,0.950,1.000,1.000,0.333,0,0,0,0,0,0,0,0.000,66.7,66.7,33.3
66," B. Rezaie",1,3,2,0,0,0,0,0,0,0,1,0.000,1,1,1,2,0,0,0,0,0,0,0.333,0.333,0.333,0.000,0.333,0.150,0.000,0.000,0.000,0,0,0,0,0,2,0,0.000,33.3,33.3,33.3
36," D. Kurowski",1,2,2,0,1,0,1,0,0,0,1,0.500,0,1,0,1,0,1,0,0,0,0,0.500,0.500,0.500,0.500,1.000,0.350,1.000,0.500,0.500,0,0,0,0,0,2,1,0.500,50.0,50.0,50.0
29," K. Hraba",1,3,2,0,0,0,0,0,0,0,1,0.000,1,0,2,2,0,0,0,0,0,0,0.333,0.333,0.333,0.000,0.333,0.150,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,33.3,33.3,33.3
54," K Hada",1,3,3,0,0,0,0,0,0,0,0,0.000,0,1,2,3,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,2,0,0.000,66.7,66.7,66.7
40," Michalski",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,2,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.333,0,0,0,0,0,1,0,0.000,66.7,66.7,66.7
84," N. Serafin",1,1,1,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
38," D. Trzeciak",1,1,1,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,100.0,100.0,100.0
"","TOTALS",1,29,22,5,3,0,2,1,0,0,5,0.136,5,5,10,15,2,2,0,0,0,0,0.345,0.345,0.379,0.182,0.527,0.201,0.429,0.318,0.241,1,0,0,0,0,9,2,0.222,41.4,37.9,34.5
