"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
32," Strumiński",1,6,5,3,4,0,3,0,1,0,2,0.800,1,0,1,1,0,2,0,0,0,0,0.833,0.833,0.833,1.200,2.033,0.675,1.000,0.800,0.667,0,0,0,0,0,2,1,0.500,83.3,83.3,33.3
23," Słomian",1,6,5,1,0,0,0,0,0,0,1,0.000,0,0,0,0,1,0,0,0,0,0,0.333,0.167,0.167,0.000,0.167,0.075,0.000,1.000,0.833,0,0,0,0,0,2,0,0.000,50.0,33.3,33.3
53," Weżgowiec",1,6,6,2,3,0,2,1,0,0,3,0.500,0,0,0,0,0,1,1,0,0,0,0.833,0.500,0.500,0.667,1.167,0.392,0.500,1.000,1.000,0,0,0,0,0,4,2,0.500,66.7,50.0,33.3
69," Motas",1,4,1,3,0,0,0,0,0,0,0,0.000,2,0,0,0,1,2,0,0,0,0,0.750,0.750,0.750,0.000,0.750,0.338,0.000,1.000,0.250,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
13," Herc",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
33," Dublasiewicz",1,6,4,3,3,0,2,1,0,0,4,0.750,1,0,0,0,1,2,0,0,0,0,1.167,0.833,0.833,1.000,1.833,0.625,0.750,1.000,0.667,0,0,0,0,0,3,2,0.667,83.3,83.3,66.7
48," Krajewski",1,6,6,3,4,0,1,3,0,0,5,0.667,0,0,0,0,0,1,0,0,0,0,1.333,0.667,0.667,1.167,1.833,0.592,0.667,1.000,1.000,0,0,0,0,0,6,4,0.667,66.7,66.7,66.7
30," Potempa",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
19," Mańdok",1,5,5,3,4,0,3,0,1,0,2,0.800,0,0,0,0,0,1,0,0,0,0,1.000,0.800,0.800,1.200,2.000,0.660,0.800,1.000,1.000,0,0,0,0,0,4,3,0.750,80.0,80.0,60.0
04," Zając",1,4,4,3,3,0,2,0,1,0,3,0.750,0,0,0,0,0,2,0,0,0,0,1.500,0.750,0.750,1.250,2.000,0.650,0.750,1.000,1.000,0,0,0,0,0,1,1,1.000,100.0,75.0,50.0
45," Chorobik",1,4,3,3,2,0,2,0,0,0,3,0.667,1,0,0,0,0,3,0,0,0,0,1.500,0.750,0.750,0.667,1.417,0.504,0.667,1.000,0.750,0,0,0,0,0,2,2,1.000,50.0,50.0,50.0
12," Krzywdziński N.",1,2,1,1,1,1,0,0,0,0,1,1.000,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0.500,0,0,0,0,0,1,1,1.000,50.0,50.0,50.0
1," De Matos",1,2,1,2,1,0,1,0,0,0,0,1.000,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0.500,0,0,0,0,0,0,0,0.000,50.0,50.0,0.0
"","TOTALS",1,52,42,27,25,1,16,5,3,0,24,0.595,7,0,2,2,3,14,1,0,0,0,0.981,0.673,0.673,0.857,1.530,0.517,0.625,0.952,0.769,0,0,0,0,0,27,16,0.593,63.5,57.7,42.3
