"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
48,"Jan Pruszyński",1,5,5,2,2,0,2,0,0,0,0,0.400,0,0,0,0,0,2,0,0,0,0,0.400,0.400,0.600,0.400,0.800,0.280,0.400,1.000,1.000,1,0,0,0,0,1,0,0.000,60.0,60.0,20.0
7,"Phil Richmond",1,4,2,2,1,0,1,0,0,0,0,0.500,2,0,0,0,0,3,0,0,0,0,0.500,0.750,0.750,0.500,1.250,0.463,0.500,1.000,0.500,0,0,0,0,0,0,0,0.000,25.0,25.0,0.0
25,"Wiktor Wróbel Habuda",1,5,3,3,1,0,1,0,0,0,0,0.333,2,0,1,1,0,1,0,0,0,0,0.600,0.600,0.600,0.333,0.933,0.353,0.500,0.667,0.400,0,1,0,0,0,2,0,0.000,80.0,80.0,80.0
29,"Mikołaj Wąsiewicz",1,3,2,2,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0.667,0.333,0.667,0.000,0.333,0.150,0.000,1.000,0.667,1,0,0,0,0,2,0,0.000,66.7,66.7,66.7
"","Marceli Buchacz",1,3,2,2,1,0,1,0,0,0,2,0.500,1,0,0,0,0,1,0,0,0,0,1.333,0.667,1.000,0.500,1.167,0.425,0.500,1.000,0.667,1,0,0,0,0,2,1,0.500,66.7,66.7,66.7
34,"Ian Waldron",1,5,4,2,2,0,1,1,0,0,4,0.500,1,0,0,0,0,3,0,0,0,0,1.200,0.600,0.800,0.750,1.350,0.458,0.500,1.000,0.800,1,0,0,0,0,3,2,0.667,80.0,80.0,80.0
18,"Tymofii Zadniprianyi",1,3,2,1,0,0,0,0,0,0,1,0.000,1,0,0,0,0,1,0,0,0,0,0.667,0.333,0.333,0.000,0.333,0.150,0.000,1.000,0.667,0,0,0,0,0,1,0,0.000,66.7,66.7,66.7
5,"Igor Sawczuk",1,3,3,0,1,0,0,1,0,0,2,0.333,0,0,1,1,0,0,0,0,0,0,0.667,0.333,0.333,0.667,1.000,0.317,0.500,0.667,0.667,0,0,0,0,0,2,1,0.500,33.3,33.3,33.3
26,"Heorhi Mikhalchanka",1,4,4,0,0,0,0,0,0,0,0,0.000,0,2,0,2,0,0,0,0,0,0,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.500,0.500,1,0,0,0,0,2,0,0.000,0.0,0.0,0.0
22,"Hubert Szczeszka",1,2,2,1,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.500,0.000,0.500,0.000,0.000,0.000,0.000,1.000,1.000,1,1,0,0,0,1,0,0.000,0.0,0.0,0.0
19,"Kamil Kobierski",1,2,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,1,0,0,0,0,0,0.000,0.500,1.000,0.000,0.500,0.225,0.000,1.000,0.500,1,0,0,0,0,1,0,0.000,0.0,0.0,0.0
45,"Eduardo Ferrer",1,2,2,0,1,0,1,0,0,0,0,0.500,0,0,0,0,0,0,0,0,0,0,0.000,0.500,0.500,0.500,1.000,0.350,0.500,1.000,1.000,0,0,0,0,0,2,1,0.500,50.0,50.0,50.0
2,"Yarosłav Faryha",1,2,2,0,1,0,1,0,0,0,0,0.500,0,1,0,1,0,0,0,0,0,0,0.000,0.500,0.500,0.500,1.000,0.350,1.000,0.500,0.500,0,0,0,0,0,1,1,1.000,50.0,50.0,50.0
10,"Julian Gruber",1,1,1,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,100.0,100.0,100.0
"","TOTALS",1,44,35,15,10,0,8,2,0,0,9,0.286,8,4,2,6,1,11,0,0,0,0,0.545,0.432,0.591,0.343,0.775,0.280,0.345,0.829,0.659,7,2,0,0,0,20,6,0.300,50.0,50.0,43.2
