"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
"","Dobromił Warchoł",1,3,2,1,1,0,0,1,0,0,0,0.500,1,0,0,0,0,1,0,0,0,0,0.333,0.667,0.667,1.000,1.667,0.550,0.500,1.000,0.667,0,0,0,0,0,0,0,0.000,66.7,66.7,33.3
22,"Mariusz Staniak",1,3,3,0,1,0,1,0,0,0,1,0.333,0,1,1,2,0,0,0,0,0,0,0.333,0.333,0.333,0.333,0.667,0.233,1.000,0.333,0.333,0,0,0,0,0,2,1,0.500,33.3,33.3,33.3
7,"Adam Pepłoński",1,2,2,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,1,0,0.000,50.0,50.0,50.0
1,"Piotr Obrębski",1,3,3,0,0,0,0,0,0,0,0,0.000,0,1,1,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.333,0,1,0,0,0,2,0,0.000,33.3,33.3,33.3
"","Yasnier Rivera",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.667,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
"","Mikołaj Pietrzyk",1,2,2,0,1,0,1,0,0,0,0,0.500,0,0,0,0,0,1,0,0,0,0,0.000,0.500,0.500,0.500,1.000,0.350,0.500,1.000,1.000,0,0,0,0,0,0,0,0.000,50.0,50.0,0.0
17,"Konrad Szczepański",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
"","Jan Różyło",1,2,2,0,0,0,0,0,0,0,0,0.000,0,2,0,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
4,"Tomasz Buławko",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,2,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,100.0,100.0,100.0
"","Michał Gradus",1,1,1,0,1,0,1,0,0,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,1.000,0,0,0,0,0,0,0,0.000,100.0,100.0,0.0
"","TOTALS",1,23,22,1,4,0,3,1,0,0,1,0.182,1,5,6,11,0,2,0,0,0,0,0.087,0.217,0.217,0.227,0.445,0.155,0.364,0.500,0.478,0,1,0,0,0,8,1,0.125,39.1,39.1,26.1
