"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
"","Dobromił Warchoł",1,0,0,0,6,0,9,0,0,0,0,0,0,1.000
22,"Mariusz Staniak",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
7,"Adam Pepłoński",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
1,"Piotr Obrębski",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
"","Yasnier Rivera",1,0,0,0,4,1,0,0,0,0,0,0,0,1.000
"","Mikołaj Pietrzyk",1,1,0,1,3,1,0,0,0,0,0,0,0,0.800
17,"Konrad Szczepański",1,0,1,1,0,1,0,0,0,0,0,0,0,0.500
"","Jan Różyło",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
4,"Tomasz Buławko",1,0,0,0,4,0,0,0,0,0,0,0,0,1.000
"","Michał Gradus",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,1,1,2,20,4,9,0,0,0,0,0,0,0.923
