"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
98,"Filip Sulikowski",1,0,1,1,0,1,0,0,0,0,0,0,0,0.500
67,"Carter Olek",1,0,0,0,1,2,0,0,0,0,0,0,0,1.000
69,"Yutaro Takiguchi",1,0,0,0,7,0,1,0,0,0,0,0,0,1.000
5,"Grzegorz Białas",1,0,1,1,2,0,0,0,0,0,0,0,0,0.667
29,"Witold Baranowski",1,0,0,0,4,0,0,0,0,0,0,0,0,1.000
76,"Aliaksandr Fedaruk",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
13,"Jakub Zelewski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
22,"Kamil Trepczyk",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
58,"Wojciech Węcłaś",1,0,0,0,1,3,0,0,0,0,0,3,0,1.000
45,"Marcin Kurkowiak",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
68,"Michał Smektalski",1,0,1,1,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,3,3,15,6,1,0,0,0,0,3,0,0.875
