"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
43,"D Warchoł",1,4,3,2,1,0,1,0,0,0,1,0.333,1,1,0,1,0,1,0,0,0,0,0.750,0.500,0.500,0.333,0.833,0.308,0.667,0.500,0,0,0,0,0,2,1,0.500,25.0,25.0,25.0
4,"T Buławko",1,3,3,1,1,0,1,0,0,0,0,0.333,0,1,0,1,0,0,0,0,0,0,0.333,0.333,0.333,0.333,0.667,0.233,0.667,0.667,0,0,0,0,0,2,1,0.500,33.3,33.3,33.3
65,"Yasivier Rivera",1,3,2,0,1,0,1,0,0,0,1,0.500,1,0,0,0,0,0,0,0,0,0,0.333,0.667,0.667,0.500,1.167,0.425,1.000,0.667,0,0,0,0,0,1,1,1.000,66.7,66.7,66.7
1,"P Obrębski",1,3,2,0,1,0,1,0,0,0,1,0.500,1,0,0,0,0,0,0,0,0,0,0.333,0.667,0.667,0.500,1.167,0.425,1.000,0.667,0,0,0,0,0,1,1,1.000,33.3,33.3,33.3
28,"Kajetan Szafran",1,4,4,0,2,0,2,0,0,0,0,0.500,0,0,0,0,0,0,0,0,0,0,0.000,0.500,0.500,0.500,1.000,0.350,1.000,1.000,0,0,0,0,0,1,0,0.000,50.0,50.0,0.0
27,"Onay Perez",1,3,3,1,2,0,2,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0.333,0.667,1.000,0.667,1.333,0.467,1.000,1.000,1,0,0,0,0,0,0,0.000,66.7,66.7,0.0
47,"R Łaszek",1,2,2,0,2,0,2,0,0,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0,0,0,0,0,0,0,0.000,100.0,100.0,0.0
87,"M Gradus",1,3,3,1,0,0,0,0,0,0,0,0.000,0,2,0,2,0,0,0,0,0,0,0.333,0.000,0.000,0.000,0.000,0.000,0.333,0.333,0,1,0,0,0,3,0,0.000,0.0,0.0,0.0
00,"K Wawrzyn",1,3,3,0,0,0,0,0,0,0,0,0.000,0,2,1,3,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,3,0,0.000,0.0,0.0,0.0
"","TOTALS",1,28,25,5,10,0,10,0,0,0,3,0.400,3,6,1,7,0,1,0,0,0,0,0.286,0.464,0.500,0.400,0.864,0.309,0.720,0.643,1,1,0,0,0,13,4,0.308,39.3,39.3,17.9
