"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
98,"Filip Sulikowski",1,5,2,4,0,0,0,0,0,0,2,0.000,1,0,0,0,2,0,0,0,0,0,1.200,0.600,0.800,0.000,0.600,0.270,1.000,0.400,1,0,0,0,0,2,0,0.000,60.0,40.0,40.0
67,"Carter Olek",1,5,3,3,3,0,1,1,1,0,7,1.000,2,0,0,0,0,0,0,0,0,0,2.000,1.000,1.000,2.000,3.000,0.950,1.000,0.600,0,0,0,0,0,3,3,1.000,100.0,100.0,100.0
69,"Yutaro Takiguchi",1,5,3,3,2,0,1,1,0,0,4,0.667,2,0,0,0,0,1,0,0,0,0,1.400,0.800,0.800,1.000,1.800,0.610,1.000,0.600,0,1,0,0,0,3,2,0.667,80.0,80.0,80.0
5,"Grzegorz Białas",1,5,3,3,1,0,1,0,0,0,2,0.333,2,0,0,0,0,1,0,0,0,0,1.000,0.600,0.600,0.333,0.933,0.353,1.000,0.600,0,1,0,0,0,3,1,0.333,40.0,40.0,40.0
76,"Aliaksandr Fedaruk",1,5,3,2,1,0,1,0,0,0,1,0.333,0,0,2,2,2,3,0,0,0,0,0.600,0.600,0.600,0.333,0.933,0.353,0.333,0.200,0,0,0,0,0,2,0,0.000,40.0,40.0,20.0
68,"Michał Smektalski",1,4,1,4,1,0,1,0,0,0,0,1.000,2,0,0,0,1,2,0,0,0,0,1.000,1.000,1.000,1.000,2.000,0.700,1.000,0.250,0,0,0,0,0,1,1,1.000,75.0,75.0,75.0
22,"Kamil Trepczyk",1,5,1,4,1,0,1,0,0,0,3,1.000,2,0,0,0,2,4,0,0,0,0,1.400,1.000,1.000,1.000,2.000,0.700,1.000,0.200,0,0,0,0,0,1,1,1.000,60.0,60.0,60.0
45,"Marcin Kurkowiak",1,4,2,3,0,0,0,0,0,0,0,0.000,1,0,0,0,1,2,0,0,0,0,0.750,0.500,0.750,0.000,0.500,0.225,1.000,0.500,1,0,0,0,0,1,0,0.000,50.0,50.0,50.0
29,"Witold Baranowski",1,4,0,3,0,0,0,0,0,0,1,0.000,4,0,0,0,0,1,0,0,0,0,1.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0,0,0,0,0,0,0,0.000,25.0,25.0,25.0
58,"Wojciech Węcłaś",1,1,0,0,0,0,0,0,0,0,1,0.000,0,0,0,0,1,0,0,0,0,0,1.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0,0,0,0,0,0,0,0.000,100.0,100.0,100.0
"","TOTALS",1,43,18,29,9,0,6,2,1,0,21,0.500,16,0,2,2,9,14,0,0,0,0,1.163,0.791,0.837,0.722,1.513,0.536,0.889,0.372,2,2,0,0,0,16,8,0.500,60.5,58.1,55.8
