"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
43,"D Warchoł",1,0,2,2,2,0,14,0,0,0,3,0,0,0.500
28,"Kajetan Szafran",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
65,"Yasivier Rivera",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
27,"Onay Perez",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
1,"P Obrębski",1,0,0,0,0,0,0,0,0,0,0,1,0,0.000
4,"T Buławko",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
56,"A Łaszek",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
87,"M Gradus",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
00,"K Wawrzyn",1,0,1,1,0,0,0,0,0,0,0,0,0,0.000
3,"A Wiśniewski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,3,3,7,1,14,0,0,0,3,1,0,0.727
