"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
32,"Stanislaw Struminski",1,5,3,2,2,0,2,0,0,0,1,0.667,2,0,0,0,0,3,0,0,0,0,0.600,0.800,0.800,0.667,1.467,0.527,0.667,1.000,0.600,0,0,0,0,0,2,1,0.500,40.0,40.0,20.0
04,"Patryk Zając",1,4,3,1,1,0,0,1,0,0,0,0.333,1,1,0,1,0,0,0,0,0,0,0.250,0.500,0.500,0.667,1.167,0.392,0.500,0.667,0.500,0,0,0,0,0,2,0,0.000,75.0,75.0,50.0
53,"Patryk Weżgowiec",1,4,4,0,1,0,1,0,0,0,2,0.250,0,0,0,0,0,1,0,0,0,0,0.500,0.250,0.250,0.250,0.500,0.175,0.250,1.000,1.000,0,0,0,0,0,4,1,0.250,50.0,50.0,50.0
16,"Szymon Królik",1,4,2,1,0,0,0,0,0,0,0,0.000,2,0,0,0,0,1,0,0,0,0,0.250,0.500,0.500,0.000,0.500,0.225,0.000,1.000,0.500,0,0,0,0,0,1,0,0.000,25.0,25.0,25.0
23,"Marcel Słomian",1,4,3,2,1,0,1,0,0,0,0,0.333,1,1,1,2,0,0,0,0,0,0,0.500,0.500,0.500,0.333,0.833,0.308,1.000,0.333,0.250,0,0,0,0,0,1,0,0.000,25.0,25.0,0.0
48,"Rafał Krajewski",1,4,2,2,1,0,0,1,0,0,1,0.500,2,0,0,0,0,2,0,0,0,0,0.750,0.750,0.750,1.000,1.750,0.588,0.500,1.000,0.500,0,0,0,0,0,1,0,0.000,50.0,50.0,25.0
33,"Adam Dublasiewicz",1,3,2,1,1,0,1,0,0,0,1,0.500,1,0,1,1,0,2,0,0,0,0,0.667,0.667,0.667,0.500,1.167,0.425,1.000,0.500,0.333,0,0,0,0,0,1,1,1.000,33.3,33.3,33.3
69,"Grzegorz Motas",1,3,0,3,0,0,0,0,0,0,0,0.000,2,0,0,0,1,3,0,0,0,0,1.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,33.3,33.3,33.3
13,"Maksymilian Herc",1,3,0,2,0,0,0,0,0,0,0,0.000,3,0,0,0,0,2,0,0,0,0,0.667,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
12,"Niko Krzywdzinski",1,1,0,1,0,0,0,0,0,0,0,0.000,1,0,0,0,0,1,0,0,0,0,1.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
36,"Krystian Chylinski",1,1,0,1,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,100.0,100.0,100.0
30,"Brunon Potempa",1,1,0,0,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,37,19,16,7,0,5,2,0,0,5,0.368,17,2,2,4,1,15,0,0,0,0,0.568,0.676,0.676,0.474,1.149,0.422,0.467,0.789,0.405,0,0,0,0,0,12,3,0.250,37.8,37.8,27.0
