"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
32,"Stanislaw Struminski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
04,"Patryk Zając",1,0,1,1,1,0,0,0,0,0,0,0,0,0.500
53,"Patryk Weżgowiec",1,0,0,0,7,1,1,0,0,0,0,0,0,1.000
16,"Szymon Królik",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
23,"Marcel Słomian",1,0,2,2,1,2,0,0,0,0,0,0,0,0.600
48,"Rafał Krajewski",1,0,0,0,5,0,0,0,0,0,0,0,0,1.000
33,"Adam Dublasiewicz",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
69,"Grzegorz Motas",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
13,"Maksymilian Herc",1,0,1,1,0,2,0,0,0,0,0,0,0,0.667
12,"Niko Krzywdzinski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
36,"Krystian Chylinski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
30,"Brunon Potempa",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,4,4,15,6,1,0,0,0,0,0,0,0.840
