"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
13,"Patryk Szczygieł",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
04,"Bartosz Wycisk",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.500,0.000,0.000,0.000,0.000,1.000,1.000,1,0,0,0,0,0,0,0.000,50.0,50.0,50.0
58,"Jakub Osiński",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,1,0,0.000,50.0,50.0,50.0
21,"Łukasz Rumpel",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,2,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,100.0,100.0,100.0
66,"Aleks Polonek",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.500,0.500,1,0,0,0,0,0,0,0.000,50.0,50.0,50.0
26,"Kacper Urbańczyk",1,2,2,0,1,0,0,1,0,0,0,0.500,0,0,0,0,0,0,0,0,0,0,0.000,0.500,0.500,1.000,1.500,0.475,0.500,1.000,1.000,0,0,0,0,0,1,0,0.000,50.0,50.0,0.0
70,"Emil Dudek",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
22,"Tomasz Rogowiec",1,2,2,1,1,0,1,0,0,0,0,0.500,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,0.500,1.000,0.350,0.500,1.000,1.000,0,0,0,0,0,1,0,0.000,50.0,50.0,0.0
41,"Patryk Stanoszek",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
67,"Lukasz Belok",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
"","TOTALS",1,18,18,1,2,0,1,1,0,0,0,0.111,0,0,7,7,0,1,0,0,0,0,0.056,0.111,0.222,0.167,0.278,0.092,0.182,0.611,0.611,2,0,0,0,0,6,0,0.000,38.9,38.9,27.8
