"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
13,"Patryk Szczygieł",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
04,"Bartosz Wycisk",1,0,1,1,5,0,14,0,0,0,1,0,0,0.833
58,"Jakub Osiński",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
21,"Łukasz Rumpel",1,0,0,0,3,0,0,0,0,0,0,0,0,1.000
66,"Aleks Polonek",1,0,1,1,1,0,0,0,0,0,0,0,0,0.500
26,"Kacper Urbańczyk",1,0,0,0,2,0,1,0,0,0,4,0,0,1.000
70,"Emil Dudek",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
22,"Tomasz Rogowiec",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
41,"Patryk Stanoszek",1,0,4,4,1,1,0,0,0,0,0,0,0,0.333
67,"Lukasz Belok",1,0,1,1,0,0,0,0,0,0,0,0,0,0.000
97,"Mateusz Janus",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
11,"Dawid Rendzia",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
78,"Dominik Krol",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,7,7,13,3,15,0,0,0,5,0,0,0.696
