"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
32,"Strumiński ",1,5,4,2,1,1,0,0,0,0,1,0.250,1,0,1,1,0,1,0,0,0,0,0.600,0.400,0.400,0.250,0.650,0.243,0.333,0.750,0.600,0,0,0,0,0,3,1,0.333,40.0,40.0,40.0
23,"Słomian ",1,4,2,2,1,0,1,0,0,0,0,0.500,2,0,0,0,0,2,1,0,0,0,0.500,0.750,0.750,0.500,1.250,0.463,0.500,1.000,0.500,0,0,0,0,0,0,0,0.000,50.0,50.0,25.0
53,"Weżgowiec ",1,4,3,3,3,0,1,2,0,0,3,1.000,1,0,0,0,0,3,0,0,0,0,1.500,1.000,1.000,1.667,2.667,0.867,1.000,1.000,0.750,0,0,0,0,0,2,2,1.000,75.0,75.0,50.0
16,"Królik ",1,4,3,1,1,0,0,0,1,0,1,0.333,0,1,0,1,1,0,1,0,0,0,0.500,0.500,0.500,1.000,1.500,0.475,0.500,0.667,0.500,0,0,0,0,0,2,0,0.000,50.0,50.0,50.0
69,"Motas ",1,4,3,1,2,0,2,0,0,0,1,0.667,1,0,0,0,0,0,0,0,0,0,0.500,0.750,0.750,0.667,1.417,0.504,0.667,1.000,0.750,0,0,0,0,0,2,2,1.000,50.0,50.0,50.0
48,"Krajewski ",1,4,3,0,0,0,0,0,0,0,1,0.000,1,0,0,0,0,0,0,0,0,0,0.250,0.250,0.250,0.000,0.250,0.113,0.000,1.000,0.750,0,0,0,0,0,0,0,0.000,25.0,25.0,25.0
13,"Herc ",1,4,4,1,1,0,1,0,0,0,0,0.250,0,0,1,1,0,0,0,0,0,0,0.250,0.250,0.250,0.250,0.500,0.175,0.333,0.750,0.750,0,0,0,0,0,0,0,0.000,25.0,25.0,0.0
33,"Dublasiewicz  ",1,4,4,1,2,0,1,1,0,0,2,0.500,0,1,0,1,0,0,0,0,0,0,0.750,0.500,0.500,0.750,1.250,0.413,0.667,0.750,0.750,0,0,0,0,0,1,1,1.000,50.0,50.0,25.0
26,"Rosół ",1,4,2,2,1,0,1,0,0,0,0,0.500,2,0,1,1,0,1,0,0,0,0,0.500,0.750,0.750,0.500,1.250,0.463,1.000,0.500,0.250,0,0,0,0,0,0,0,0.000,25.0,25.0,0.0
"","TOTALS",1,37,28,13,12,1,7,3,1,0,9,0.429,8,2,3,5,1,7,2,0,0,0,0.595,0.568,0.568,0.607,1.175,0.407,0.522,0.821,0.622,0,0,0,0,0,10,6,0.600,43.2,43.2,29.7
