"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
32,"Strumiński ",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
23,"Słomian ",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
53,"Weżgowiec ",1,0,3,3,13,0,3,0,0,0,6,0,0,0.813
16,"Królik ",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
69,"Motas ",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
48,"Krajewski ",1,0,1,1,3,0,0,0,0,0,0,0,0,0.750
13,"Herc ",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
33,"Dublasiewicz  ",1,0,0,0,2,2,0,0,0,0,0,0,0,1.000
26,"Rosół ",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
"","TOTALS",1,0,4,4,21,3,3,0,0,0,6,0,0,0.857
