"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
13,"Szczygieł ",1,5,2,3,2,0,2,0,0,0,0,1.000,2,0,0,0,1,1,0,0,0,0,0.600,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0.400,0,0,0,0,0,0,0,0.000,40.0,40.0,0.0
4,"Wycisk ",1,5,4,1,2,0,2,0,0,0,0,0.500,1,1,0,1,0,0,0,0,0,0,0.200,0.600,0.600,0.500,1.100,0.395,0.667,0.750,0.600,0,0,0,0,0,3,1,0.333,60.0,60.0,40.0
58,"Osiński  ",1,4,3,2,1,0,1,0,0,0,1,0.333,1,1,1,2,0,0,0,0,0,0,0.750,0.500,0.500,0.333,0.833,0.308,1.000,0.333,0.250,0,0,0,0,0,3,1,0.333,75.0,75.0,75.0
21,"Rumpel ",1,4,3,0,1,0,1,0,0,0,2,0.333,1,1,1,2,0,0,0,0,0,0,0.500,0.500,0.500,0.333,0.833,0.308,1.000,0.333,0.250,0,0,0,0,0,2,1,0.500,25.0,25.0,25.0
66,"Polonek ",1,5,4,0,1,0,1,0,0,0,1,0.250,0,0,3,3,1,0,0,0,0,0,0.200,0.400,0.400,0.250,0.650,0.243,1.000,0.250,0.200,0,0,0,0,0,2,1,0.500,60.0,60.0,60.0
26,"Urbańczyk  ",1,5,3,1,1,0,1,0,0,0,0,0.333,2,2,0,2,0,0,0,0,0,0,0.200,0.600,0.600,0.333,0.933,0.353,1.000,0.333,0.200,0,0,0,0,0,2,1,0.500,20.0,20.0,20.0
70,"Dudek ",1,5,5,2,2,0,0,1,0,1,3,0.400,0,0,0,0,0,0,0,0,0,0,0.800,0.400,0.400,1.200,1.600,0.480,0.250,1.000,1.000,0,0,0,0,0,4,2,0.500,40.0,40.0,40.0
64,"Andrzejewski  ",1,5,5,0,1,0,1,0,0,0,0,0.200,0,0,1,1,0,1,0,0,0,0,0.000,0.200,0.200,0.200,0.400,0.140,0.250,0.800,0.800,0,0,0,0,0,0,0,0.000,20.0,20.0,0.0
41,"Stanoszek  ",1,5,3,1,1,0,1,0,0,0,0,0.333,2,1,0,1,0,1,0,0,0,0,0.200,0.600,0.600,0.333,0.933,0.353,0.500,0.667,0.400,0,0,0,0,0,1,0,0.000,60.0,60.0,40.0
67,"Belok ",1,2,1,1,0,0,0,0,0,0,0,0.000,1,1,0,1,0,0,0,0,0,0,0.500,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
"","TOTALS",1,45,33,11,12,0,10,1,0,1,7,0.364,10,7,6,13,2,3,0,0,0,0,0.378,0.533,0.533,0.485,1.018,0.361,0.579,0.606,0.444,0,0,0,0,0,18,7,0.389,42.2,42.2,31.1
