"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
13,"Szczygieł ",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
4,"Wycisk ",1,0,0,0,4,2,7,2,0,0,4,0,0,1.000
58,"Osiński  ",1,0,1,1,7,0,0,0,0,0,0,0,0,0.875
21,"Rumpel ",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
66,"Polonek ",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
26,"Urbańczyk  ",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
70,"Dudek ",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
64,"Andrzejewski  ",1,0,1,1,1,1,0,0,0,0,0,0,0,0.667
41,"Stanoszek  ",1,0,0,0,4,1,0,0,1,0,0,0,0,1.000
22,"Rogowiec  ",1,0,1,1,0,2,0,0,0,0,0,0,0,0.667
67,"Belok ",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,3,3,18,7,7,2,1,0,4,0,0,0.893
