"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
9,"Miguel Lopez",1,5,4,3,2,0,0,1,1,0,1,0.500,1,0,0,0,0,1,0,0,0,0,0.800,0.600,0.800,1.250,1.850,0.583,0.500,1.000,0.800,1,0,0,0,0,2,1,0.500,40.0,40.0,20.0
63,"Franek Filozof",1,5,4,3,2,0,1,0,0,1,4,0.500,0,0,0,0,1,2,0,0,0,0,1.200,0.600,0.600,1.250,1.850,0.583,0.333,1.000,0.800,0,1,0,0,0,3,1,0.333,60.0,60.0,60.0
79,"Aaron Arroyo",1,4,4,4,4,0,2,0,1,1,4,1.000,0,0,0,0,0,2,0,0,0,0,1.750,1.000,1.000,2.250,3.250,1.013,1.000,1.000,1.000,0,0,0,0,0,2,2,1.000,100.0,100.0,75.0
12,"Piotr Pludowski",1,4,3,3,1,0,0,1,0,0,1,0.333,1,0,0,0,0,1,0,0,0,0,1.000,0.500,0.750,0.667,1.167,0.392,0.333,1.000,0.750,1,0,0,0,0,2,0,0.000,50.0,50.0,25.0
20,"Jakub Lenhart",1,3,3,1,1,0,1,0,0,0,0,0.333,0,1,0,1,0,0,0,0,0,0,0.333,0.333,0.333,0.333,0.667,0.233,0.500,0.667,0.667,0,0,0,0,0,3,1,0.333,33.3,33.3,33.3
99,"Teo Laczny",1,2,1,0,0,0,0,0,0,0,1,0.000,0,1,0,1,0,0,0,0,1,1,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,100.0,100.0,100.0
27,"Łukasz Krzemieniowski",1,2,2,0,1,0,1,0,0,0,1,0.500,0,1,0,1,0,1,0,0,0,0,0.500,0.500,0.500,0.500,1.000,0.350,1.000,0.500,0.500,0,0,0,0,0,1,1,1.000,50.0,50.0,50.0
14,"Pawel Lakomy",1,4,3,1,3,0,3,0,0,0,2,1.000,1,0,0,0,0,0,0,0,0,0,0.750,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0.750,0,0,0,0,0,2,2,1.000,75.0,75.0,50.0
53,"Wiktor Szymanski",1,2,1,0,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0.000,0.500,0.500,0.000,0.500,0.225,0.000,1.000,0.500,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
96," Sasiadek",1,2,2,0,1,0,1,0,0,0,0,0.500,0,0,1,1,0,0,0,0,0,0,0.000,0.500,0.500,0.500,1.000,0.350,1.000,0.500,0.500,0,0,0,0,0,2,1,0.500,50.0,50.0,50.0
71," Kowalewski.",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
64,"Marek Kozioł ",1,2,1,2,0,0,0,0,0,0,1,0.000,1,0,0,0,0,0,0,0,0,0,1.500,0.500,1.000,0.000,0.500,0.225,0.000,1.000,0.500,1,0,0,0,0,1,0,0.000,100.0,100.0,100.0
57,"Cesar Malony",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
37," Biernacki",1,2,1,1,1,0,1,0,0,0,0,1.000,1,0,0,0,0,0,0,0,0,0,0.500,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0.500,0,0,0,0,0,1,1,1.000,50.0,50.0,50.0
"","TOTALS",1,38,30,18,16,0,10,2,2,2,15,0.533,6,3,1,4,1,7,0,0,1,1,0.816,0.605,0.684,0.933,1.539,0.506,0.560,0.867,0.684,3,1,0,0,0,22,10,0.455,57.9,57.9,47.4
