"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
9,"Miguel Lopez",1,0,0,0,2,2,0,0,0,0,0,0,0,1.000
63,"Franek Filozof",1,0,0,0,3,0,0,0,0,0,0,0,0,1.000
79,"Aaron Arroyo",1,0,0,0,6,1,0,1,0,0,0,0,0,1.000
12,"Piotr Pludowski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
20,"Jakub Lenhart",1,0,0,0,3,0,0,0,0,0,0,0,0,1.000
99,"Teo Laczny",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
14,"Pawel Lakomy",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
53,"Wiktor Szymanski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
15," Skarzynski",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
96," Sasiadek",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
64,"Marek Kozioł ",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
57,"Cesar Malony",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
71," Kowalewski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
37," Biernacki",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,0,0,15,5,0,1,0,0,0,0,0,1.000
