"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
24," Tatrevich",1,0,1,1,2,0,0,0,0,0,0,0,0,0.667
50,"Young Joo OH",1,0,0,0,0,4,0,0,0,0,0,0,0,1.000
69," Idzik",1,0,0,0,0,0,0,0,0,0,0,4,0,0.000
36," kurowski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
32," Kasiński",1,0,0,0,6,1,0,0,0,0,0,0,0,1.000
84," Serafin",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
19," Mończynski",1,0,1,1,1,2,0,0,0,0,0,0,0,0.750
17," Gauders",1,0,1,1,0,1,0,0,0,0,0,0,0,0.500
20,"Norbert Myrek",1,0,0,0,3,0,3,0,0,0,2,1,0,1.000
"","TOTALS",1,0,3,3,12,8,3,0,0,0,2,5,0,0.870
