"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
10,"Mikołaj Pietrzyk",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
17,"Konrad Szczepański",1,1,0,1,1,0,0,0,0,0,0,0,0,0.500
31,"Cheng An Cheng",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
28,"Kajetan Szafran",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
65,"Yasnier Rivera",1,0,2,2,0,1,0,0,0,0,0,0,0,0.333
1,"Piotr Obrębski",1,1,0,1,2,2,0,0,0,0,0,1,0,0.800
44,"Jan Różyło",1,0,0,0,5,1,24,1,0,0,3,0,0,1.000
45,"Patryk Dycha",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
"","Kacper Wawrzyn",1,0,0,0,3,1,0,0,0,0,0,0,0,1.000
"","TOTALS",1,2,2,4,16,6,24,1,0,0,3,1,0,0.846
