"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
40,"Gracjan Bielecki",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
1,"Edgar Toro",1,0,0,0,2,2,0,0,0,0,0,0,0,1.000
23,"Jakub Wojtczak",1,0,0,0,0,2,0,0,0,0,0,0,0,1.000
6,"Wojciech Zagawa",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
17,"Mateusz Serafin",1,0,0,0,5,0,0,0,0,0,0,0,0,1.000
16,"Michał Nowicki",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
7,"Eryk Kieruńczak",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
9,"Radosław Jóźwiak",1,0,0,0,5,3,1,1,0,0,0,0,0,1.000
13,"Kacper Kamiński",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
45,"Kacper Cichowski",1,0,0,0,0,0,0,0,0,0,0,1,0,0.000
18,"Piotr Malarski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
34,"Robert Matecki",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
15,"Nikodem Kieruńczak",1,1,0,1,0,2,0,0,0,0,0,1,0,0.667
"","TOTALS",1,1,0,1,15,9,1,1,0,0,0,2,0,0.960
