"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
40,"Gracjan Bielecki",1,3,2,1,0,0,0,0,0,0,0,0.000,1,0,0,0,0,2,1,0,0,0,0.333,0.333,0.667,0.000,0.333,0.150,0.000,1.000,0.667,1,0,0,0,0,1,0,0.000,0.0,0.0,0.0
1,"Edgar Toro",1,5,2,1,0,0,0,0,0,0,0,0.000,3,0,0,0,0,2,0,0,0,0,0.200,0.600,0.600,0.000,0.600,0.270,0.000,1.000,0.400,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
23,"Jakub Wojtczak",1,5,3,3,1,0,0,0,0,1,2,0.333,2,0,0,0,0,3,0,0,0,0,0.800,0.600,0.800,1.333,1.933,0.603,0.000,1.000,0.600,1,0,0,0,0,2,1,0.500,20.0,20.0,20.0
21,"Artur Wojtczak",1,5,2,3,1,0,1,0,0,0,3,0.500,3,0,0,0,0,2,0,0,0,0,1.200,0.800,0.800,0.500,1.300,0.485,0.500,1.000,0.400,0,0,0,0,0,2,1,0.500,40.0,40.0,40.0
6,"Wojciech Zagawa",1,5,3,3,1,0,0,1,0,0,2,0.333,2,0,0,0,0,1,0,0,0,0,1.000,0.600,0.600,0.667,1.267,0.437,0.333,1.000,0.600,0,1,0,0,0,2,1,0.500,40.0,40.0,40.0
17,"Mateusz Serafin",1,5,3,2,2,0,1,1,0,0,3,0.667,2,0,0,0,0,0,0,0,0,0,1.000,0.800,1.000,1.000,1.800,0.610,0.667,1.000,0.600,1,0,0,0,0,3,2,0.667,60.0,60.0,60.0
16,"Michał Nowicki",1,2,1,0,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0.000,0.500,0.500,0.000,0.500,0.225,0.000,1.000,0.500,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
14,"Kacper Bielecki",1,2,2,1,1,0,1,0,0,0,0,0.500,0,1,0,1,0,1,0,0,0,0,0.500,0.500,0.500,0.500,1.000,0.350,1.000,0.500,0.500,0,0,0,0,0,1,0,0.000,50.0,50.0,0.0
13,"Kacper Kamiński",1,2,2,1,1,0,0,1,0,0,1,0.500,0,0,0,0,0,0,0,0,0,0,1.000,0.500,0.500,1.000,1.500,0.475,0.500,1.000,1.000,0,0,0,0,0,1,1,1.000,50.0,50.0,50.0
45,"Kacper Cichowski",1,3,3,1,0,0,0,0,0,0,0,0.000,0,0,0,0,0,1,0,0,0,0,0.333,0.000,0.333,0.000,0.000,0.000,0.000,1.000,1.000,1,0,0,0,0,2,0,0.000,0.0,0.0,0.0
18,"Piotr Malarski",1,3,2,2,2,0,1,1,0,0,1,1.000,0,0,0,0,1,1,0,0,0,0,1.000,1.000,1.000,1.500,2.500,0.825,1.000,1.000,0.667,0,0,0,0,0,1,1,1.000,66.7,66.7,33.3
"","Nikodem Kieruńczak",1,1,1,0,1,0,0,1,0,0,3,1.000,0,0,0,0,0,0,0,0,0,0,3.000,1.000,1.000,2.000,3.000,0.950,1.000,1.000,1.000,0,0,0,0,0,1,1,1.000,100.0,100.0,100.0
28,"Eryk Kieruńczak",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,2,0,0.000,0.0,0.0,0.0
48,"Samuel Camacho",1,3,1,1,0,0,0,0,0,0,0,0.000,1,0,0,0,1,0,0,0,0,0,0.333,0.667,0.667,0.000,0.667,0.300,0.000,1.000,0.333,0,0,0,0,0,1,0,0.000,33.3,33.3,33.3
"","TOTALS",1,46,29,19,10,0,4,5,0,1,15,0.345,15,1,0,1,2,13,1,0,0,0,0.717,0.587,0.674,0.621,1.208,0.419,0.333,0.966,0.609,4,1,0,0,0,20,8,0.400,30.4,30.4,26.1
