"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP","FP1","FP2","FP3","FP4","FP5","FP6","FP7","FP8","FP9","IP","OP1","OP2","OP3","OP4","OP5","OP6","OP7","OP8","OP9"
32,"Michal Kasinski",1,0,0,0,4,0,0,0,0,0,0,0,0,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,5.00,0,0,15,0,0,0,0,0,0
20,"Norbert Myrek",1,0,0,0,2,1,6,0,0,0,0,0,0,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.00,0,15,0,0,0,0,0,0,0
67,"Jergus Kuchar (L2)",1,0,1,1,3,0,0,0,0,0,0,0,0,0.750,0.000,0.000,0.000,0.000,0.000,0.750,0.000,0.000,0.000,5.00,0,0,0,0,0,15,0,0,0
24,"Andriey Tatarevich (L3)",1,0,0,0,4,0,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,5.00,0,0,0,0,0,0,0,15,0
29,"Konrad Hrabia",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,5.00,0,0,0,15,0,0,0,0,0
18,"Mikolaj Gorecki",1,0,1,1,0,1,0,0,0,0,0,0,0,0.500,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,5.00,0,0,0,0,15,0,0,0,0
62,"Maciej Kulik",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,5.00,0,0,0,0,0,0,15,0,0
76,"Bartosz Bolek",1,0,1,1,1,0,0,0,0,0,0,0,0,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,5.00,0,0,0,0,0,0,0,0,15
75,"Rafal Philipp",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.00,15,0,0,0,0,0,0,0,0
"","TOTALS",1,0,3,3,16,4,6,0,0,0,0,0,0,0.870,1.000,1.000,1.000,1.000,0.500,0.750,1.000,1.000,0.500,45.00,15,15,15,15,15,15,15,15,15
