"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","BBi","Kc","Ks","SO","HBP","SB","CS","PK","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","LOBi","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","TP","QAB1%","QAB2%","QAB3%"
44,"Gabriel Wilichnowski",1,4,4,3,2,0,2,0,0,0,1,0.500,0,0,0,1,1,0,0,0,0,0,0,0,1.000,0.500,0.500,0.500,1.000,0.350,0.667,0.750,0.750,1,0,1,0,0,0,1,1,1.000,9,50.0,50.0,25.0
13,"Carlos Salas",1,4,4,3,3,0,2,1,0,0,2,0.750,0,0,0,0,0,0,2,0,0,0,0,0,1.250,0.750,0.750,1.000,1.750,0.588,0.750,1.000,1.000,0,0,0,0,0,0,1,1,1.000,14,100.0,100.0,50.0
41,"Szymon Dwojakowski",1,4,4,2,0,0,0,0,0,0,1,0.000,0,0,0,0,0,0,1,0,0,0,0,0,0.750,0.000,0.250,0.000,0.000,0.000,0.000,1.000,1.000,4,1,1,0,0,0,3,0,0.000,11,25.0,25.0,25.0
72,"Dominik Grzecicha",1,3,2,2,2,0,1,1,0,0,2,1.000,0,0,0,0,0,0,1,0,0,0,1,1,1.333,0.667,0.667,1.500,2.167,0.675,0.667,1.000,0.667,2,0,0,0,0,0,1,1,1.000,7,100.0,100.0,66.7
51,"Dawid Korzekwa",1,4,2,3,1,0,1,0,0,0,1,0.500,1,0,0,1,1,0,0,0,0,0,1,1,1.000,0.500,0.500,0.500,1.000,0.350,0.500,0.500,0.250,1,0,0,0,0,0,2,1,0.500,23,50.0,50.0,50.0
18,"Przemyslaw Sobik",1,4,3,2,3,0,2,1,0,0,5,1.000,0,0,0,0,0,0,1,0,0,0,1,1,1.750,0.750,0.750,1.333,2.083,0.671,0.750,1.000,0.750,0,0,0,0,0,0,3,3,1.000,6,100.0,100.0,100.0
22,"Szymon Garus",1,4,3,1,1,0,1,0,0,0,0,0.333,0,0,0,0,0,1,1,0,0,0,0,0,0.250,0.500,0.500,0.333,0.833,0.308,0.333,1.000,0.750,1,0,0,0,0,0,1,1,1.000,11,25.0,25.0,25.0
9,"Maksymilian Serwotka",1,4,3,1,2,0,1,1,0,0,3,0.667,1,0,0,0,0,0,0,0,0,0,0,0,1.000,0.750,0.750,1.000,1.750,0.588,0.667,1.000,0.750,1,0,0,0,0,0,3,2,0.667,14,75.0,75.0,75.0
06,"Dawid Pierchala",1,4,2,1,0,0,0,0,0,0,0,0.000,1,0,0,0,0,1,0,0,0,0,0,0,0.250,0.500,0.500,0.000,0.500,0.225,0.000,1.000,0.500,2,0,0,0,0,0,2,0,0.000,11,25.0,25.0,25.0
01,"Jan Kiszka",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0,0.0,0.0,0.0
08,"Tymoteusz Piecha",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0,0.0,0.0,0.0
2,"Dominik Cwalina",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,0,0,0,0.000,2,0.0,0.0,0.0
07,"Igor Fojcik",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0,0.0,0.0,0.0
"","TOTALS",1,36,28,18,14,0,10,4,0,0,15,0.500,3,0,0,2,2,2,6,0,0,0,3,3,0.917,0.528,0.556,0.643,1.171,0.398,0.483,0.929,0.722,12,1,2,0,0,0,17,10,0.588,108,58.3,58.3,47.2
