"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","BBi","Kc","Ks","SO","HBP","SB","CS","PK","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","LOBi","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","TP","QAB1%","QAB2%","QAB3%"
84,"Maciej Serafin",1,3,2,1,0,0,0,0,0,0,0,0.000,0,0,0,1,1,1,0,0,0,0,0,0,0.333,0.333,0.667,0.000,0.333,0.150,0.000,0.500,0.333,0,1,0,0,0,0,0,0,0.000,16,33.3,33.3,33.3
24,"Andriey Tatarevich (L3)",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,0,0,0,0.000,4,0.0,0.0,0.0
44,"Luis Carmona (L2)",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,0,1,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.667,1,0,0,0,0,0,1,0,0.000,14,33.3,33.3,33.3
75,"Rafal Philipp",1,2,1,1,0,0,0,0,0,0,0,0.000,0,0,1,0,1,1,0,0,0,0,0,0,0.500,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,5,0.0,0.0,0.0
32,"Michal Kasinski",1,3,2,1,0,0,0,0,0,0,0,0.000,0,0,0,1,1,1,0,0,0,0,0,0,0.333,0.333,0.333,0.000,0.333,0.150,0.000,0.500,0.333,1,0,0,0,0,0,0,0,0.000,10,33.3,33.3,33.3
62,"Maciej Kulik",1,3,3,0,1,0,1,0,0,0,0,0.333,0,0,0,1,1,0,0,0,0,0,0,0,0.000,0.333,0.333,0.333,0.667,0.233,0.500,0.667,0.667,1,0,0,0,0,0,2,1,0.500,12,66.7,66.7,66.7
55,"JD Carmona (L2)",1,2,1,0,0,0,0,0,0,0,0,0.000,1,0,0,1,1,0,0,0,0,0,0,0,0.000,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,14,100.0,100.0,100.0
40,"Krzysztof Michalski",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,0,1,1,0,0,0,0,0,0,0,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.500,0.500,2,1,0,0,0,0,1,0,0.000,8,50.0,50.0,50.0
51,"Karol Oska",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,3,0,1,0,0,0,1,0,0.000,6,0.0,0.0,0.0
20,"Norbert Myrek",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.000,0,0.0,0.0,0.0
67,"Jergus Kuchar (L2)",1,1,1,0,1,0,1,0,0,0,1,1.000,0,0,0,0,0,0,1,0,0,0,0,0,1.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,1.000,0,0,0,0,0,0,1,1,1.000,2,100.0,100.0,100.0
29,"Konrad Hrabia",1,2,2,1,1,0,1,0,0,0,1,0.500,0,0,1,0,1,0,0,0,0,0,0,0,1.000,0.500,0.500,0.500,1.000,0.350,1.000,0.500,0.500,2,0,0,0,0,0,2,1,0.500,11,50.0,50.0,50.0
"","TOTALS",1,24,20,4,3,0,3,0,0,0,2,0.150,1,0,2,6,8,3,1,0,0,0,0,0,0.250,0.292,0.375,0.150,0.442,0.169,0.250,0.600,0.500,10,2,1,0,0,0,8,3,0.375,102,41.7,41.7,41.7
