"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP","FP1","FP2","FP3","FP4","FP5","FP6","FP7","FP8","FP9","IP","OP1","OP2","OP3","OP4","OP5","OP6","OP7","OP8","OP9"
44,"Gabriel Wilichnowski",1,1,0,1,0,1,0,0,0,0,0,0,0,0.500,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,3.00,0,0,0,0,9,0,0,0,0
13,"Carlos Salas",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.00,6,0,0,0,0,0,0,0,0
72,"Dominik Grzecicha",1,0,0,0,3,0,0,0,0,0,0,0,0,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.00,0,6,0,0,0,0,0,0,0
51,"Dawid Korzekwa",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.00,0,0,0,0,0,0,0,12,0
18,"Przemyslaw Sobik",1,0,0,0,0,2,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,4.00,0,0,0,0,0,12,0,0,0
26,"Mateusz Benisz",1,0,0,0,3,0,0,0,0,0,0,0,0,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,2.00,0,0,6,0,0,0,0,0,0
07,"Igor Fojcik",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,5.00,0,0,0,10,2,3,0,0,0
03,"Dominik Wilk",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.00,0,0,0,0,0,0,0,0,15
22,"Szymon Garus",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.00,0,0,0,0,0,0,6,0,0
06,"Dawid Pierchala",1,0,1,1,0,1,0,0,0,0,0,0,0,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,3,0,0,0,0,0,0,0,0
2,"Dominik Cwalina",1,0,0,0,4,0,0,0,0,0,0,0,0,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.00,0,6,0,0,0,0,0,3,0
02,"Pawel Kruczek",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.00,0,0,0,0,0,0,9,0,0
08,"Tymoteusz Piecha",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.00,2,0,0,0,4,0,0,0,0
01,"Jan Kiszka",1,0,0,0,0,2,0,0,0,0,0,0,0,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,3.00,0,0,4,5,0,0,0,0,0
9,"Maksymilian Serwotka",1,0,0,0,1,0,1,0,0,0,2,0,0,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.00,0,3,0,0,0,0,0,0,0
16,"Karol Kocemba",1,0,0,0,3,0,0,0,0,0,0,0,0,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,3.00,4,0,5,0,0,0,0,0,0
"","TOTALS",1,1,1,2,15,7,1,0,0,0,2,0,0,0.917,0.667,1.000,1.000,1.000,0.500,1.000,0.000,0.000,0.000,45.00,15,15,15,15,15,15,15,15,15
