"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
26,"Kacper Urbanczyk",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
21,"Łukasz Rumpel",1,0,0,0,4,0,0,0,1,0,0,0,0,1.000
13,"Patryk Szczygieł",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
70,"Emil Dudek",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
66,"Aleks Polonek",1,0,0,0,2,1,0,0,0,0,0,0,0,1.000
4,"Bartosz Wycisk",1,1,0,1,4,0,11,0,0,0,1,0,0,0.800
22,"Tomasz Rogowiec",1,0,0,0,0,2,0,0,1,0,0,0,0,1.000
58,"Jakub Osiński",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
67,"Łukasz Belok",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
44,"Patryk Stanoszek",1,0,0,0,1,1,0,0,1,0,0,0,0,1.000
"","TOTALS",1,1,0,1,12,6,11,0,1,0,1,0,0,0.947
