"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
9,"Miguel López",1,6,3,5,2,0,1,0,0,1,4,0.667,2,0,0,0,1,1,0,0,0,0,1.333,0.833,0.833,1.667,2.500,0.792,0.500,1.000,0.500,0,0,0,0,0,3,2,0.667,50.0,50.0,50.0
63,"Franciszek Filozof",1,5,5,4,3,0,3,0,0,0,2,0.600,0,0,2,2,0,2,0,0,0,0,1.200,0.600,0.600,0.600,1.200,0.420,1.000,0.600,0.600,0,0,0,0,0,3,1,0.333,60.0,60.0,20.0
79,"Aaron Arroyo",1,5,5,4,4,0,2,0,1,1,6,0.800,0,0,0,0,0,0,0,0,0,0,1.800,0.800,0.800,1.800,2.600,0.810,0.750,1.000,1.000,0,0,0,0,0,4,3,0.750,100.0,100.0,80.0
34,"Illia Sheremeta",1,3,2,2,1,0,1,0,0,0,1,0.500,1,0,0,0,0,1,0,0,0,0,1.000,0.667,0.667,0.500,1.167,0.425,0.500,1.000,0.667,0,0,0,0,0,1,1,1.000,33.3,33.3,33.3
12,"Piotr Płudowski",1,5,4,2,4,0,1,3,0,0,6,1.000,1,0,0,0,0,0,0,0,0,0,1.600,1.000,1.000,1.750,2.750,0.888,1.000,1.000,0.800,0,0,0,0,0,3,3,1.000,80.0,80.0,80.0
20,"Jakub Lenhart",1,5,2,1,1,0,1,0,0,0,0,0.500,1,1,0,1,2,0,0,0,0,0,0.200,0.800,0.800,0.500,1.300,0.485,1.000,0.500,0.200,0,0,0,0,0,1,0,0.000,40.0,40.0,20.0
14,"Paweł Łakomy",1,5,4,1,1,0,1,0,0,0,0,0.250,0,0,1,1,1,1,0,0,0,0,0.200,0.400,0.400,0.250,0.650,0.243,0.333,0.750,0.600,0,1,0,1,0,4,1,0.250,20.0,20.0,20.0
3,"Teodor Łączny Tamas",1,5,1,4,1,0,0,1,0,0,2,1.000,4,0,0,0,0,3,0,0,0,0,1.200,1.000,1.000,2.000,3.000,0.950,1.000,1.000,0.200,0,0,0,0,0,0,0,0.000,60.0,60.0,40.0
64,"Marek Kozioł",1,5,3,3,1,0,1,0,0,0,1,0.333,2,0,0,0,0,3,0,0,0,0,0.800,0.600,0.600,0.333,0.933,0.353,0.333,1.000,0.600,0,0,0,0,0,3,1,0.333,40.0,40.0,40.0
27,"Łukasz Krzemienowski",1,2,2,2,2,0,2,0,0,0,2,1.000,0,0,0,0,0,0,0,0,0,0,2.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,1.000,0,0,0,0,0,2,2,1.000,100.0,100.0,100.0
"","TOTALS",1,46,31,28,20,0,13,4,1,2,24,0.645,11,1,3,4,4,11,0,0,0,0,1.087,0.761,0.761,1.032,1.793,0.600,0.720,0.871,0.587,0,1,0,1,0,24,14,0.583,56.5,56.5,45.7
