"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
26,"Kacper Urbanczyk",1,2,2,0,0,0,0,0,0,0,0,0.000,0,2,0,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
21,"Łukasz Rumpel",1,2,2,0,0,0,0,0,0,0,0,0.000,0,1,1,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
66,"Aleks Polonek",1,2,2,0,1,0,1,0,0,0,0,0.500,0,0,1,1,0,0,0,0,0,0,0.000,0.500,0.500,0.500,1.000,0.350,1.000,0.500,0.500,0,0,0,0,0,0,0,0.000,50.0,50.0,0.0
67,"Łukasz Belok",1,2,2,0,0,0,0,0,0,0,0,0.000,0,2,0,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,50.0,50.0,50.0
4,"Bartosz Wycisk",1,2,2,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,0,0,0.000,50.0,50.0,50.0
22,"Tomasz Rogowiec",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
44,"Patryk Stanoszek",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","Bartosz Andrzejewski",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
15,"Michał Karasiewicz",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,14,14,0,1,0,1,0,0,0,0,0.071,0,6,4,10,0,0,0,0,0,0,0.000,0.071,0.071,0.071,0.143,0.050,0.250,0.286,0.286,0,0,0,0,0,0,0,0.000,21.4,21.4,14.3
